"pid","origin","top","start","end","outcome","workerTicks","maxWorkers","dirtyStart","keyStart","keyEnd","logState","logVerdict","claudePid","wrapperPushes"
"101260","hook","C:\Codex\ThriftyCrew\.claude\worktrees\strange-swirles-94d674","2026-09-11T16:30:08.8586570-05:00","2026-09-11T16:50:19.6783186-05:00","slot-timeout","0","0",,"e1f1b69c27c2e08b5a7985ac584f93202c751623","e1f1b69c27c2e08b5a7985ac584f93202c751623","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","114436","False"
"149584","hook","C:\Codex\ThriftyCrew\.claude\worktrees\practical-hypatia-083434","2026-09-11T16:31:19.7900750-05:00","2026-09-11T16:50:34.6846496-05:00","evaluated","7","1",,"d65a4296639de39e410e04594c22a9ef2417c581","d65a4296639de39e410e04594c22a9ef2417c581","deleted-by-hook-rc0",,"119256","False"
"162884","hook","C:\Codex\ThriftyCrew\.claude\worktrees\admiring-euler-cbfb1a","2026-09-11T16:26:38.7790560-05:00","2026-09-11T16:50:34.6846496-05:00","evaluated","7","1",,"976641f2b0ecba22810ba007136fa7203c7dc177","976641f2b0ecba22810ba007136fa7203c7dc177","deleted-by-hook-rc0",,"37420","False"
"19312","hook","C:\Codex\ThriftyCrew\.claude\worktrees\serene-lichterman-4b5b8f","2026-09-11T16:30:33.6988290-05:00","2026-09-11T16:50:49.7061388-05:00","slot-timeout","0","0",,"4d21a3928d5f7242cf7e96833578b51e0203b245","c3cde67a0134c6a8bfc62801f55b08d5cb575695","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","51928","False"
"146976","hook","C:\Users\Owner\AppData\Local\Temp\tc-prepush-selftest-147280-09d2fa8a\main","2026-09-11T16:50:35.5938710-05:00","2026-09-11T16:50:49.7061388-05:00","short-no-workers","0","0",,"cc5903f1d2b9ae96bbd19532604bdf2088f48e58","e49e6153c297bc23c4d3c49853fc4a88e8ab0cc7","ambiguous-0",,"71068","False"
"150852","manual","C:\Codex\ThriftyCrew\.claude\worktrees\wizardly-northcutt-e464dd","2026-09-11T16:17:00.2647820-05:00","2026-09-11T16:51:19.7325624-05:00","slot-timeout","0","0",,"bda1022899e659adfec276894a06a73215e84e98","bda1022899e659adfec276894a06a73215e84e98",,,"124264","False"
"156424","manual","C:\Codex\ThriftyCrew\.claude\worktrees\wizardly-northcutt-e464dd","2026-09-11T16:17:00.9016640-05:00","2026-09-11T16:51:19.7325624-05:00","evaluated","9","1",,"bda1022899e659adfec276894a06a73215e84e98","bda1022899e659adfec276894a06a73215e84e98",,,"124264","False"
"69640","hook","C:\Codex\ThriftyCrew\.claude\worktrees\blissful-murdock-fb1193","2026-09-11T16:31:13.5455500-05:00","2026-09-11T16:51:19.7325624-05:00","slot-timeout","0","0",,"edd7cbf2c3f95469d5828ca4ca0a8344fe864377","edd7cbf2c3f95469d5828ca4ca0a8344fe864377","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","91828","False"
"69520","hook","C:\Codex\ThriftyCrew\.claude\worktrees\gracious-wiles-9d8b90","2026-09-11T16:31:04.2244360-05:00","2026-09-11T16:51:19.7325624-05:00","slot-timeout","0","0",,"030df15f900d5f537cdd874ac121ddfdfff96b89","2a5384da6af07395e646da6aaed7a02f43f2b9c8","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","38860","False"
"128920","manual","C:\Codex\ThriftyCrew\.claude\worktrees\cool-jepsen-8c8c88","2026-09-11T16:31:18.4131830-05:00","2026-09-11T16:51:34.7367467-05:00","slot-timeout","0","0",,"8bbe3c68257b614030124b9bd628639d334edc01","8bbe3c68257b614030124b9bd628639d334edc01",,,"138060","False"
"80296","manual","C:\Codex\ThriftyCrew\.claude\worktrees\cool-jepsen-8c8c88","2026-09-11T16:31:18.8638690-05:00","2026-09-11T16:51:34.7367467-05:00","slot-timeout","0","0",,"8bbe3c68257b614030124b9bd628639d334edc01","8bbe3c68257b614030124b9bd628639d334edc01",,,"138060","False"
