WINNER apples           <= [apples > limes]  'Busch Light apple or lime, 30 pk. cans 12 fl. oz., $27.99'
WINNER avocados         <= [avocados > limes > cilantro > crackers]  'Triscuit Crackers, Avocado, Cilantro & Lime 8.5 Oz'
WINNER avocados         <= [avocados > limes > rice]  'Vigo Lime Rice, Creamy Avocado, Authentic 8 Oz'
WINNER avocados         <= [avocados > salsa]  'Fresh & Finest By Our Family Salsa Avocado'
WINNER avocados         <= [avocados > salsa]  'Fresh & Finest By Our Family Salsa, Avocado Dragon, Medium 10 Oz'
WINNER bacon            <= [bacon > eggs > frozen-burritos]  'Jimmy Dean Bacon, Egg & Cheese Breakfast Burrito, 1 ct'
WINNER bananas          <= [bananas > strawberries]  'Jumex Strawberry Banana Nectar From Concentrate 11.3 Fl Oz'
WINNER bar-soap         <= [bar-soap > deodorant]  'Dial Gold Antibacterial Deodorant Bar Soap'
WINNER bread            <= [bread > crackers]  'Wasa crispbread crackers or bread, 5.4 to 9.2 oz., 2/ $7'
WINNER butter           <= [butter > shrimp]  'Our own ready to cook shrimp & crab boil, Snow crab clusters, crawfish, Argentine red EZ peel shrimp, red skin potato wedges, mini corn cobs, garlic herb butter pucks & Old Bay crab cajun spices, 64 oz. half shrimp & crab boil 32 oz. $17.99, $34.99'
WINNER butter           <= [butter > instant-mashed-potatoes]  'Chef's Cupboard Homestyle Butter Mashed Potatoes'
WINNER butter           <= [butter > sweet-corn > shrimp > kielbasa]  'Our own ready to cook shrimp boil, Argentina red EZ peel shrimp, red skin potato wedges, Zatarain's andouille smoked sausage, mini sweet corn cobs, garlic herb butter pucks & Old Bay cajun spices, 56 oz. half shrimp boil 28 oz. 12.99, $19.99'
WINNER butter           <= [butter > coffee-creamer]  'Countryside Creamery Salted Butter Quarters'
WINNER canned-peaches   <= [canned-peaches > frozen-fruit]  'Hy-Vee berry medley or sliced peaches, 48 oz., $11.98'
WINNER canned-peas      <= [canned-peas > frozen-peas]  'Season's Choice Steamable Sweet Peas'
WINNER canned-pineapple <= [canned-pineapple > apple-juice]  'That's Smart! Pineapple Chunks In Pineapple Juice 8 oz'
WINNER canned-pineapple <= [canned-pineapple > apple-juice]  'Sweet Harvest Pineapple Chunks in Pineapple Juice'
WINNER carrots          <= [carrots > frozen-vegetables > fresh-green-beans > canned-green-beans]  'That's Smart! Mixed Vegetables With Carrots, Corn, Peas & Green Beans'
WINNER carrots          <= [carrots > honey]  'Del Monte Sliced Hot Honey Carrots 14.5 Oz'
WINNER coffee           <= [coffee > donuts > coffee-pods]  'Barissimo Donut Store Blend Coffee Cups'
WINNER cookies          <= [cookies > sandwich-cookies]  'Benton's Vanilla Sandwich Creme Cookies'
WINNER cottage-cheese   <= [cottage-cheese > blueberries]  'Daisy Daisy 4% Milkfat Minimum With Blueberries Cottage Cheese 6 Oz'
WINNER cream-cheese     <= [cream-cheese > honey]  'Philadelphia Honey Pecan Cream Cheese Spread 7.5 Oz'
WINNER cream-cheese     <= [cream-cheese > onions]  'Philadelphia Chive & Onion Cream Cheese Spread 7.5 Oz'
WINNER croissants       <= [croissants > breakfast-sandwiches]  'Di Lusso wraps or croissant sandwich, FUEL SAVER EARN 3¢ OFF PER GALLON,'
WINNER croissants       <= [croissants > breakfast-sandwiches]  'Great Value Croissant Sandwiches Sausage Egg and Cheese'
WINNER croissants       <= [croissants > breakfast-sandwiches]  'Jimmy Dean Sausage, Egg, and Cheese Croissant Sandwiches'
WINNER deli-ham         <= [deli-ham > cherries]  'Cedar Hollow Foods Cherry Wood Ham'
WINNER donuts           <= [donuts > coffee-pods]  'Dunkin' Donuts Original Blend K-Cup 10 Count'
WINNER fresh-green-beans <= [fresh-green-beans > canned-green-beans]  'Firecracker green beans, $6.99 lb.'
WINNER fresh-green-beans <= [fresh-green-beans > canned-green-beans]  'Organic Green Beans'
WINNER fresh-green-beans <= [fresh-green-beans > canned-green-beans]  'French Green Beans, Package'
WINNER fresh-green-beans <= [fresh-green-beans > canned-green-beans]  'Hy-Vee corn or green beans, 14.25 to 15.25 oz., $0.88'
WINNER frozen-pizza     <= [frozen-pizza > garlic-bread]  'Mama Cozzi's Pizza Kitchen Garlic Texas Toast'
WINNER frozen-pizza     <= [frozen-pizza > cheese-crackers]  'Urban Pie, Cheez-it, Connie's, Stranger Things, Screamin' Sicilian breadstix or pizza, 13.3 to 26.9 oz., $5.99'
WINNER fruit-cups       <= [fruit-cups > coffee-pods]  'Great Value Mixed Fruits Variety Pack Cups'
WINNER fruit-punch      <= [fruit-punch > sports-drinks]  'Gatorade Thirst Quencher Fruit Punch'
WINNER fruit-punch      <= [fruit-punch > sports-drinks]  'Gatorade Fruit Punch Thirst Quencher'
WINNER fruit-punch      <= [fruit-punch > sports-drinks]  'Gatorade Advanced Rehydration Fruit Punch Thirst Quencher 28 Fl Oz'
WINNER garlic           <= [garlic > crackers]  'Ritz Fresh Stacks Roasted Garlic Crackers 8 Ea'
WINNER garlic           <= [garlic > fresh-ginger]  'Fresh Gourmet Fresh Gourmet Garlic Ginger Wonton Strips 3.5 Oz'
WINNER garlic           <= [garlic > crackers]  'Ritz Fresh Stacks Roasted Garlic/The Original/Everything Crackers Variety Pack 6 Ea'
WINNER garlic           <= [garlic > hummus]  'Fresh & Finest By Our Family Garlic Hummus 10 Oz'
WINNER heavy-cream      <= [heavy-cream > half-and-half]  'Hy-Vee heavy whipping cream 16 fl. oz. or half & half 32 fl. oz., $3.49'
WINNER honey            <= [honey > almonds]  'Blue Diamond Hot Honey Almonds 6 Oz'
WINNER honey            <= [honey > granola]  'Member's Mark Honey Almond Granola'
WINNER honey            <= [honey > corn-dogs]  'State Fair Hot Honey Mini Corn Dogs 23.76 Oz'
WINNER honey            <= [honey > mangoes]  'Honey Mangos'
WINNER iced-tea         <= [iced-tea > tea-bags]  'Pure Leaf Real Brewed Unsweetened Black Tea'
WINNER lasagna-noodles  <= [lasagna-noodles > frozen-lasagna]  'Great Value Lasagna Pasta'
WINNER lasagna-noodles  <= [lasagna-noodles > frozen-lasagna]  'Hy-Vee Oven Ready No Boil Lasagna'
WINNER lasagna-noodles  <= [lasagna-noodles > frozen-lasagna]  'Reggano Oven Ready Lasagna Noodles'
WINNER lasagna-noodles  <= [lasagna-noodles > frozen-lasagna]  'Fareway Oven Ready Lasagna'
WINNER lemons           <= [lemons > limes > sugar > sports-drinks]  'Gatorade Zero Sugar Lemon Lime Thirst Quencher 28 Fl Oz'
WINNER lemons           <= [lemons > limes > sports-drinks]  'Gatorade Lemon Lime Thirst Quencher 28 Fl Oz'
WINNER lettuce          <= [lettuce > kale]  'Kale Lettuce Bunch'
WINNER milk             <= [milk > shredded-cheese]  'Whole Milk Mozzarella Shredded Cheese Our Family'
WINNER onions           <= [onions > bell-peppers > celery]  'Our Family Tomatoes, With Onion, Celery & Green Bell Pepper, Diced, Petite 14.5 Oz'
WINNER oranges          <= [oranges > sports-drinks]  'Gatorade Orange Thirst Quencher 28 Fl Oz'
WINNER oranges          <= [oranges > sugar > sports-drinks]  'Gatorade Thirst Quencher, Zero Sugar, Orange 28 Fl Oz'
WINNER oranges          <= [oranges > gelatin]  'Fareway Orange Gelatin Dessert'
WINNER pasta            <= [pasta > egg-noodles]  'Country Pasta Homemade Style Egg Pasta'
WINNER peaches          <= [peaches > salsa]  'Mrs. Renfro's Salsa, Peach, Mild 16 Oz'
WINNER peanut-butter    <= [peanut-butter > protein-bars]  'Millville Peanut Butter Dark Chocolate Protein Chewy Bars'
WINNER peanut-butter    <= [peanut-butter > protein-bars]  'Hy-Vee Chewy Protein Bars Peanut Butter & Dark Chocolate 5-1.42 oz Bars'
WINNER peanut-butter    <= [peanut-butter > protein-bars]  'Great Value Peanut Butter and Dark Chocolate Protein Bars'
WINNER pineapple        <= [pineapple > popsicles]  'Frollies Watermelon and Pineapple Fruity Ice Pops'
WINNER rice             <= [rice > cookies]  'HyChi manager's special, 2 entrées, 2 appetizers, rice & fortune cookie, $9.99'
WINNER rice             <= [rice > brown-rice]  'Earthly Grains Brown Basmati Rice'
WINNER salsa            <= [salsa > queso]  'The Mad Butcher's salsa or queso, 15 or 16 oz., $2.99'
WINNER salt             <= [salt > peanuts]  'Southern Grove Dry Roasted Peanuts with Sea Salt'
WINNER shredded-cheese  <= [shredded-cheese > parmesan]  'Bel Gioioso Freshly Shredded Cheese, Parmesan 5 Oz'
WINNER shredded-cheese  <= [shredded-cheese > parmesan]  'Our Family Natural Finely Cut Parmesan Shredded Cheese 6 Oz'
