0001111089202,1.99,,0.25,oz,0
0001111097975,9.49,,9.49,lb,0
0001111096874,5.49,,0.34,oz,0
0004460060044,4.59,5.99,0.14,fl oz,0
0001111085402,2.59,,0.03,oz,1
0001090008031,3.79,,0.13,sq ft,0
0004124400006,4.39,,0.17,fl oz,1
0001111086200,1.69,,0.11,fl oz,0
0000000004080,3.49,,3.49,lb,0
0001111071977,0.99,,0.99,oz,1
0000000004046,1,,,,1
0001111065936,10,,0.28,oz,1
0001111008416,2.49,,0.14,oz,0
0000000004011,1.16,,0.55,lb,0
0024184200000,22.77,31.32,7.99,lb,0
0001111011742,1.25,,0.56,oz,1
0001111011542,1.99,,0.03,fl oz,1
0025313650000,11.77,,3.99,lb,0
0001111097261,5.49,,0.3,oz,0
0001111097298,3.29,,0.21,oz,1
0001111085585,2.29,,0.07,oz,0
0003338370154,3.99,,,,0
0001111010080,6.49,,0.2,oz,0
0000000004069,2.48,,0.99,lb,1
0001111012114,1,,0.07,oz,1
0001111011383,1,,0.07,oz,0
0001111010926,0.78,,0.05,oz,1
0001111012142,1,,0.06,oz,1
0000000004050,3.5,,,,0
0001111002473,8.99,,0.56,oz,0
0000000004079,4.49,,,,0
0001111000316,6.49,,1.18,oz,0
0001111000297,3.29,,0.88,oz,0
0001111015120,7.29,,0.23,oz,0
0001111050158,2,2.49,0.25,oz,0
0000000004045,3.99,4.99,3.99,lb,0
0001111015932,5.99,,0.21,oz,0
0028334750000,9.53,,1.99,lb,0
0025313500000,10.35,15.77,2.29,lb,0
0001111012143,1,,0.06,oz,1
0001111011749,1.25,,0.63,oz,1
0001111077998,18.99,,0.59,oz,1
0001111013646,2.29,,0.14,oz,0
0001111086132,3.29,,0.21,oz,1
0001111011618,1.89,,0.07,oz,0
0000000004062,0.89,,,,1
0001111015429,3.99,,2.4,oz,0
0005190001603,5.99,6.49,0.37,oz,0
0001111084009,0.99,,0.25,oz,1
0001111011612,1,,0.07,oz,1
0001111014366,4.19,4.49,0.23,ea,0
0001111000296,1.99,,1.99,oz,0
0001111001996,3.29,,1.7,oz,0
0001111011740,1.25,,2.5,oz,1
0001111068413,1.99,,2.65,oz,0
0001111085428,1.59,,0.13,ea,0
0004150111042,3.29,,0.12,oz,1
0084037090119,3.79,,0.54,oz,0
0073762800100,6.49,,0.96,fl oz,0
0001111002371,5.99,,3.63,oz,0
0073702500815,15.99,,0.17,fl oz,0
0000000094612,1.6,,3.99,lb,0
0001111001818,2.49,,,,0
0001111087508,3.29,,0.1,oz,0
0001111087528,3.29,,0.1,oz,0
0001111015078,0.99,,0.1,oz,1
0001111089736,1.29,,0.11,oz,1
0004280011400,2,,0.2,oz,1
0001111084962,1.29,,0.11,oz,1
0081000687205,7.79,,2.69,oz,0
0001111011739,1.25,,0.63,oz,1
0000000004612,0.85,,4.99,lb,0
0880100552345,7.49,,0.42,oz,0
0004114315160,4.99,5.49,0.42,oz,0
0000000004281,1.5,,,,0
0000000004023,3.98,5.58,1.99,lb,0
0001111010717,4.29,,0.13,oz,0
0001111011473,1,,0.07,oz,0
0000000004068,1.19,,,,1
0001111068437,4.29,,2.65,oz,0
0001111097971,7.49,,7.49,lb,1
0001111011748,1.25,,0.64,oz,1
0001111006721,3.99,,2.68,oz,0
0001111001055,4.29,,2.32,oz,0
0001111050074,4.99,,0.08,fl oz,0
0001111011689,1.49,,0.12,oz,1
0004126002002,3.29,,0.07,fl oz,0
0007790053606,3.99,5.99,0.33,oz,0
0001111085181,4.99,,0.33,oz,0
0001111080987,1.79,1.99,0.12,oz,0
0001111012316,5.79,,0.24,oz,1
0001111009619,1.89,,0.16,oz,0
0001111011470,1.99,,0.18,oz,0
0001590013401,1,1.25,0.08,oz,0
0001111015191,7.49,,0.62,oz,0
0007778200868,5.49,,0.34,oz,0
0001111013788,1.59,,0.13,fl oz,1
0001111097272,4.29,,0.27,oz,1
0001111011751,1.25,,2.08,oz,1
0000000004693,0.3,,1.99,lb,1
0001111015344,15.99,,0.1,oz,0
0001111011953,2.79,,0.09,oz,0
0000000004627,1.99,,,,0
0001111080580,2.19,,0.06,oz,0
0001111071786,1,,0.06,oz,1
0001111096788,3.29,,0.23,oz,1
0005410740200,6,,,,0
0001111070207,3.29,3.49,0.1,fl oz,0
0000000004053,0.85,,,,0
0000000004061,2.29,,,,0
0001111003896,1.99,,0.12,oz,1
0007105300001,2.69,2.99,0.67,fl oz,0
0001111010011,0.79,,0.11,oz,0
0000000004312,1,,,,0
0001111013416,1.99,,0.08,oz,0
0001111001988,3.79,,0.13,fl oz,0
0001111041700,3.19,,0.02,fl oz,0
0001111015028,7.29,,0.23,oz,0
0001111091011,2.39,,,,0
0001111076655,3.99,4.49,0.1,oz,0
0001111015145,6.99,9.49,0.28,fl oz,0
0001111011593,2.19,,0.38,oz,0
0001111048480,3.99,4.49,0.06,fl oz,0
0001111018199,8.99,,,,0
0001111010621,2.99,,0.03,sq ft,1
0001111011743,1.25,,0.63,oz,1
0001111013408,3.29,,0.08,oz,0
0000000003117,0.63,,1.79,lb,0
0001111018192,5.29,,,,0
0001111085033,1.33,,0.08,oz,1
0007321400105,4.69,,0.29,fl oz,0
0001111083141,1.99,,0.1,oz,0
0000000004040,0.75,,2.99,lb,0
0000000004705,0.87,,3.49,lb,0
0001111064148,5,,4,lb,1
0020322450000,7.8,11.72,1.99,lb,0
0020316800000,12.15,,2.49,lb,0
0020335800000,11.68,,4.99,lb,0
0001111091760,2.99,,,,1
0001111008889,1.79,,0.22,oz,1
0001111091870,1.99,,,,0
0001111066912,2,2.49,0.13,fl oz,0
0001111070875,0.69,,,,0
0003338321000,2.5,3.29,,,0
0001111011745,1.25,,0.83,oz,1
0001111091846,6.99,,,,0
0001111000508,2.59,2.79,0.2,fl oz,0
0028888800000,28.59,,19.99,lb,0
0007357527334,3.29,3.49,0.27,fl oz,0
0000930000480,2.49,2.69,2.49,oz,0
0001111085071,1.33,,0.08,oz,1
0001111006806,8.99,,8.99,ea,0
0001111066759,2.19,,0.14,oz,1
0003940001884,1.49,1.59,0.1,oz,0
0007224826659,10.49,,1.24,fl oz,0
0001111091650,2.29,,,,0
0029258000000,14.99,,14.99,lb,0
0001111009435,3.29,,0.21,oz,0
0005210002276,5.49,,3.14,oz,0
0001111049680,4.49,4.99,0.03,fl oz,0
0001111015476,1.99,,0.13,fl oz,0
0001111091649,2.49,,,,0
