ground-beef-8020 | 80/20 Ground Beef | Family Fare | Fresh 80% Lean Ground Beef, Value Pack | 5.49/lb
ground-beef-8020 | 80/20 Ground Beef | Walmart | 80% Lean/20% Fat Ground Beef Chuck | 6.28/lb
ground-beef-8020 | 80/20 Ground Beef | Hy-Vee | Ground Beef Chub 80% Lean 20% Fat (5 lb) | 6.4/lb
ground-beef-8020 | 80/20 Ground Beef | Fareway | 80% Lean 20% Fat Ground Beef | 6.49/lb
ground-beef-8020 | 80/20 Ground Beef | Baker's | Kroger 80/20 Ground Beef Roll 1 LB | 7.49/lb
air-freshener | Air Freshener | Fareway | Glade Cashmere Woods Air Freshener | 0.2027/oz
air-freshener | Air Freshener | Hy-Vee | Glade Soft Mist Air Freshener, Clean Linen | 0.2178/oz
air-freshener | Air Freshener | Aldi | Febreze Air Original | 0.4247/oz
alfredo-sauce | Alfredo Sauce | Aldi | Priano Creamy Alfredo Sauce | 0.1167/oz
alfredo-sauce | Alfredo Sauce | Walmart | Great Value Alfredo Pasta Sauce | 0.12/oz
alfredo-sauce | Alfredo Sauce | Fareway | Ragu Classic Alfredo Sauce, 16 oz, White Pasta Sauce | 0.1544/oz
alfredo-sauce | Alfredo Sauce | Hy-Vee | Ragu Cheese Creations Classic Alfredo Cheese Sauce | 0.1544/oz
alfredo-sauce | Alfredo Sauce | Family Fare | Bertolli Garlic Alfredo Sauce 15 Oz | 0.2993/oz
all-purpose-cleaner | All-Purpose Cleaner | Aldi | Power Force Lemon Scented All Purpose Cleaner | 0.0841/floz
all-purpose-cleaner | All-Purpose Cleaner | Fareway | Bright Essentials All Purpose Cleaner, Citrus Scent | 0.0919/floz
all-purpose-cleaner | All-Purpose Cleaner | Walmart | Great Value Multi Purpose Cleaner Lemon Scent | 0.0928/floz
all-purpose-cleaner | All-Purpose Cleaner | Hy-Vee | Lysol Lemon Breeze All Purpose Cleaner | 0.1247/floz
all-purpose-cleaner | All-Purpose Cleaner | Baker's | Clorox All Purpose Spray Cleaner Crisp Lemon | 0.1434/floz
flour | All-Purpose Flour | Aldi | Baker's Corner All Purpose Flour | 0.39/lb
flour | All-Purpose Flour | Hy-Vee | That's Smart! Bleached Enriched All-Purpose Flour | 0.476/lb
flour | All-Purpose Flour | Walmart | Great Value All-Purpose Enriched Bleached Wheat Flour 5-Pound Bag | 0.476/lb
flour | All-Purpose Flour | Fareway | Fareway Flour, All Purpose | 0.499/lb
flour | All-Purpose Flour | Baker's | Kroger Bleached All Purpose Flour | 0.518/lb
almond-milk | Almond Milk | Aldi | Friendly Farms Original Unsweetened Almondmilk | 0.0358/floz
almond-milk | Almond Milk | Hy-Vee | Blue Diamond Almond Breeze Unsweetened Original Almond Milk | 0.0391/floz
almond-milk | Almond Milk | Walmart | bettergoods Unsweetened Original Almond Milk | 0.0397/floz
almond-milk | Almond Milk | Fareway | Silk Almond Milk, Unsweet, Dairy Free, Gluten Free, Seriously Creamy Vegan Plant Based Milk with 5 Essential Nutrients, 64 fl oz Half Gallon | 0.0545/floz
almonds | Almonds | Walmart | Great Value Whole Natural Almonds | 0.4264/oz
almonds | Almonds | Aldi | Southern Grove Whole Almonds | 0.4421/oz
almonds | Almonds | Hy-Vee | Blue Diamond Low Sodium Lightly Salted Almonds, 6oz. | 0.7483/oz
almonds | Almonds | Family Fare | Blue Diamond Hot Honey Almonds 6 Oz | 0.7817/oz
almonds | Almonds | Fareway | Blue Diamond Smokehouse Almonds | 0.8317/oz
aluminum-foil | Aluminum Foil | Fareway | Reynolds Everyday Aluminum Foil | 2.99/each
aluminum-foil | Aluminum Foil | Baker's | Reynolds Wrap Aluminum Foil 30 Sq Ft | 3.79/each
aluminum-foil | Aluminum Foil | Aldi | Boulder Regular Aluminum Foil (75 ft) | 4.39/each
aluminum-foil | Aluminum Foil | Walmart | Great Value Aluminum Foil 75 sq ft Roll | 4.83/each
apple-cider-vinegar | Apple Cider Vinegar | Walmart | Great Value Apple Cider Vinegar | 0.0738/floz
apple-cider-vinegar | Apple Cider Vinegar | Fareway | Fareway Apple Cider Vinegar | 0.1244/floz
apple-cider-vinegar | Apple Cider Vinegar | Aldi | Simply Nature Organic Apple Cider Vinegar | 0.1328/floz
apple-cider-vinegar | Apple Cider Vinegar | Hy-Vee | Hy-Vee Apple Cider Flavored Distilled Vinegar | 0.1369/floz
apple-juice | Apple Juice | Aldi | Nature's Nectar 100% Apple Juice | 0.0311/floz
apple-juice | Apple Juice | Walmart | Great Value No Added Sweeteners 100% Apple Juice | 0.0355/floz
apple-juice | Apple Juice | Family Fare | Our Family Apple Juice | 0.0416/floz
apple-juice | Apple Juice | Fareway | Fareway Apple 100% Juice | 0.0466/floz
apple-juice | Apple Juice | Hy-Vee | Hy-Vee 100% Apple Juice No Sugar Added | 0.0467/floz
apples | Apples | Aldi | Gala Apples, Bag | 0.9967/lb
apples | Apples | Walmart | Fresh Gala Apples, 3 lb Bag | 1.08/lb
apples | Apples | Baker's | Kroger Granny Smith Apples 3 Pound Bag | 1.33/lb
apples | Apples | Hy-Vee | Pink Lady Apples | 1.79/lb
apples | Apples | Fareway | Gala Apple | 1.99/lb
apples | Apples | Family Fare | Fresh Honeycrisp Apples | 2.99/lb
applesauce | Applesauce | Hy-Vee | That's Smart! Unsweetened Apple Sauce 6-4 oz Containers | 0.0783/oz
applesauce | Applesauce | Aldi | Lunch Buddies Applesauce Cups | 0.0812/oz
applesauce | Applesauce | Walmart | Great Value Unsweetened Applesauce Cups 6 Count | 0.0821/oz
asparagus | Asparagus | Aldi | Asparagus, Package | 2.69/lb
asparagus | Asparagus | Baker's | Green Asparagus | 3.49/lb
asparagus | Asparagus | Hy-Vee | Asparagus | 4.99/lb
asparagus | Asparagus | Fareway | Asparagus | 4.99/lb
asparagus | Asparagus | Walmart | Marketside Fresh Asparagus Spears | 6.352/lb
avocados | Avocados | Aldi | Medium Avocado, Each | 0.59/each
avocados | Avocados | Walmart | Fresh Hass Avocado | 0.73/each
avocados | Avocados | Fareway | Hass Avocado | 0.99/each
avocados | Avocados | Baker's | Fresh Medium Ripe Avocado | 1/each
avocados | Avocados | Hy-Vee | Hass Avocados | 1.33/each
avocados | Avocados | Family Fare | Hass Avocados, Small | 1.39/each
baby-back-ribs | Baby Back Ribs | Aldi | Baby Back Pork Ribs | 3.29/lb
baby-back-ribs | Baby Back Ribs | Walmart | Prairie Fresh Pork Back Ribs Bone-In | 3.38/lb
baby-back-ribs | Baby Back Ribs | Fareway | Baby Back Pork Ribs | 3.99/lb
baby-back-ribs | Baby Back Ribs | Baker's | Kroger Natural Pork Baby Back Ribs | 4.49/lb
baby-back-ribs | Baby Back Ribs | Hy-Vee | Pork Loin Back Ribs Previously Frozen | 4.69/lb
baby-food | Baby Food (jars/pouches) | Walmart | Parent's Choice Stage 2 Baby Food Variety Pack 12 Pouches | 0.2015/oz
baby-food | Baby Food (jars/pouches) | Aldi | Little Journey Baby Food Puree Pouch | 0.2225/oz
baby-food | Baby Food (jars/pouches) | Hy-Vee | Nothing But The Truth baby food pouches, 3.5 oz., 10/ $9.00 | 0.2571/oz
baby-food | Baby Food (jars/pouches) | Family Fare | Beech Nut Stage 2 (6+ Months) Sweet Corn & Green Beans 4 Oz | 0.3975/oz
baby-food | Baby Food (jars/pouches) | Fareway | Gerber Chicken and Gravy | 0.552/oz
baby-formula | Baby Formula | Walmart | Enfamil Infant Powder Baby Formula with Iron | 1.6776/oz
baby-formula | Baby Formula | Hy-Vee | Enfamil Infant Formula, Milk-based Baby Formula with Iron, Powder Can | 1.6776/oz
baby-formula | Baby Formula | Fareway | Similac Advance Infant Formula with Iron Powder Canister | 1.7734/oz
baby-wipes | Baby Wipes | Walmart | Ricitos de Oro Gentle Baby Wipes 3 Pack | 0.0139/each
baby-wipes | Baby Wipes | Aldi | Little Journey Thick & Quilted Baby Wipes Value Pack | 0.0229/each
baby-wipes | Baby Wipes | Fareway | Huggies Simply Clean Unscented Baby Wipes | 0.0358/each
baby-wipes | Baby Wipes | Hy-Vee | Millie Moon 99% Pure Water Baby Wipes, 72 Count | 0.0554/each
bacon | Bacon | Aldi | Appleton Farms Premium Sliced Bacon | 3.99/lb
bacon | Bacon | Baker's | Kroger Naturally Hardwood Smoked Thick Cut Bacon | 4.4444/lb
bacon | Bacon | Hy-Vee | Hy-Vee Double Smoked Thick Sliced Bacon | 4.89/lb
bacon | Bacon | Family Fare | Our Family Bacon, Premium, Thick Cut 16 Oz | 4.99/lb
bacon | Bacon | Walmart | Great Value Naturally Hickory Smoked Sliced Bacon | 5.2533/lb
bacon | Bacon | Fareway | Fareway Hickory Smoked Bacon | 5.47/lb
bagels | Bagels | Fareway | Fareway Pre-Sliced Original Bagels | 0.3333/each
bagels | Bagels | Walmart | Great Value Pre-Sliced Plain Bagels 6 Count | 0.3467/each
bagels | Bagels | Baker's | Kroger Plain Bagels | 0.415/each
bagels | Bagels | Hy-Vee | Hy-Vee Plain Bagels 5 Count Pre-Split | 0.456/each
baked-beans | Baked Beans | Hy-Vee | Hy-Vee Pork & Beans in Tomato Sauce | 0.0556/oz
baked-beans | Baked Beans | Aldi | Dakota's Pride Homestyle Baked Beans | 0.0568/oz
baked-beans | Baked Beans | Walmart | Great Value Brown Sugar Hickory Baked Beans | 0.0811/oz
baked-beans | Baked Beans | Fareway | Bush's Best Original Baked Beans | 0.2265/oz
baking-powder | Baking Powder | Aldi | Baker's Corner Baking Powder | 0.2407/oz
baking-powder | Baking Powder | Walmart | Great Value Double Acting Baking Powder | 0.2444/oz
baking-powder | Baking Powder | Hy-Vee | Hy-Vee Double Acting Baking Powder | 0.299/oz
baking-powder | Baking Powder | Fareway | Clabber Girl Hearth Club Baking Powder | 0.3074/oz
baking-soda | Baking Soda | Aldi | Baker's Corner Baking Soda | 0.0556/oz
baking-soda | Baking Soda | Walmart | Great Value Baking Soda | 0.0575/oz
baking-soda | Baking Soda | Fareway | Fareway Baking Soda | 0.0619/oz
baking-soda | Baking Soda | Hy-Vee | ARM & HAMMER Baking Soda, Multi-Purpose 100% Pure Sodium Bicarbonate, 1-Pound Box | 0.0931/oz
bananas | Bananas | Aldi | Bananas, per lb | 0.48/lb
bananas | Bananas | Fareway | Banana | 0.49/lb
bananas | Bananas | Hy-Vee | Fresh Chiquita Bananas | 0.49/lb
bananas | Bananas | Walmart | Fresh Banana | 0.5/lb
bananas | Bananas | Baker's | Fresh Bunch of Bananas | 0.55/lb
bananas | Bananas | Family Fare | Yellow Bananas | 0.65/lb
bar-soap | Bar Soap | Fareway | Irish Spring Men's Bar Soap, Original Clean | 1.23/each
bar-soap | Bar Soap | Walmart | Dial Gold Antibacterial Deodorant Bar Soap | 1.2425/each
bar-soap | Bar Soap | Hy-Vee | Yardley London Naturally Moisturizing Bath Bar Oatmeal & Almond | 1.25/each
batteries | Batteries (AA) | Aldi | Activ Energy AA Alkaline Batteries | 0.3688/each
batteries | Batteries (AA) | Walmart | Great Value Alkaline AA Batteries | 0.3713/each
batteries | Batteries (AA) | Fareway | Fareway 8 Pack 1.5 V AA Alkaline Batteries | 0.6238/each
batteries | Batteries (AA) | Hy-Vee | Simply Done AA Batteries 4 Pk | 0.7475/each
bbq-sauce | BBQ Sauce | Aldi | Burman's Original BBQ Sauce | 0.0939/oz
bbq-sauce | BBQ Sauce | Fareway | KC Masterpiece Original Barbecue Sauce | 0.1267/oz
bbq-sauce | BBQ Sauce | Hy-Vee | Hy-Vee Honey BBQ Sauce | 0.1267/oz
bbq-sauce | BBQ Sauce | Walmart | Sweet Baby Ray's Original Barbecue Sauce | 0.1317/oz
bbq-sauce | BBQ Sauce | Family Fare | Kinder's Honey Hot Bbq Sauce 15.5 Oz | 0.3865/oz
beef-broth | Beef Broth / Stock | Aldi | Chef's Cupboard Beef Broth | 0.0391/floz
beef-broth | Beef Broth / Stock | Walmart | Great Value Beef Broth | 0.0469/floz
beef-broth | Beef Broth / Stock | Family Fare | Our Family Beef Broth 32 Fl Oz | 0.0528/floz
beef-broth | Beef Broth / Stock | Fareway | Fareway Beef Broth | 0.0676/floz
beef-broth | Beef Broth / Stock | Hy-Vee | Hy-Vee Fat Free Beef Broth | 0.0683/floz
beef-jerky | Beef Jerky | Aldi | Simms Original Beef Jerky | 0.998/oz
beef-jerky | Beef Jerky | Walmart | Great Value Original Beef Jerky Value Pack | 1.152/oz
beef-jerky | Beef Jerky | Fareway | Jack Link's Original Beef Jerky | 2.1018/oz
beef-jerky | Beef Jerky | Hy-Vee | Jack Link's Beef Jerky, Original | 2.3825/oz
bell-peppers | Bell Peppers | Aldi | Green Bell Peppers, Package | 0.83/each
bell-peppers | Bell Peppers | Walmart | Fresh Green Bell Pepper | 0.86/each
bell-peppers | Bell Peppers | Fareway | Green Bell Pepper | 1.17/each
bell-peppers | Bell Peppers | Hy-Vee | Green Bell Pepper | 1.5/each
bell-peppers | Bell Peppers | Baker's | Fresh Red Bell Pepper | 1.66/each
black-pepper | Black Pepper (ground) | Fareway | Badia Spices Ground Black Pepper | 0.4994/oz
black-pepper | Black Pepper (ground) | Baker's | Smart Way Ground Black Pepper | 0.5556/oz
black-pepper | Black Pepper (ground) | Hy-Vee | That's Smart! Black Pepper | 0.5814/oz
black-pepper | Black Pepper (ground) | Family Fare | That's Smart! Ground Black Pepper | 0.695/oz
black-pepper | Black Pepper (ground) | Aldi | Stonemill Ground Black Pepper | 1.15/oz
black-pepper | Black Pepper (ground) | Walmart | Great Value Ground Black Pepper | 1.1933/oz
blackberries | Blackberries | Aldi | Blackberries, Package | 0.3583/oz
blackberries | Blackberries | Baker's | Fresh Blackberries 6 OZ Clamshell | 0.4167/oz
blackberries | Blackberries | Walmart | Fresh Blackberries | 0.4283/oz
blackberries | Blackberries | Hy-Vee | Blackberries | 0.4983/oz
blackberries | Blackberries | Fareway | Blackberries | 0.6467/oz
bleach | Bleach | Baker's | Smart Way Regular Bleach | 0.0311/floz
bleach | Bleach | Fareway | Sun Brite Ultra Bleach | 0.0312/floz
bleach | Bleach | Hy-Vee | That's Smart! Bleach 2 qt | 0.0341/floz
bleach | Bleach | Aldi | Tandil Concentrated Liquid Bleach | 0.0483/floz
bleach | Bleach | Walmart | Great Value Concentrated Liquid Bleach | 0.0486/floz
blueberries | Blueberries | Walmart | Fresh Blueberries, 18 oz Container | 0.2578/oz
blueberries | Blueberries | Hy-Vee | Driscoll's blueberries, 18 oz. pkg., $4.99 | 0.2772/oz
blueberries | Blueberries | Family Fare | Fresh Blueberries | 0.3563/oz
blueberries | Blueberries | Baker's | Fresh Blueberries - 18 oz Clamshell | 0.3606/oz
blueberries | Blueberries | Fareway | Blueberries | 0.4455/oz
lotion | Body Lotion | Aldi | Lacura Oatmeal Body Lotion | 0.2217/floz
lotion | Body Lotion | Fareway | Jergens Ultra Healing Hand and Body Dry Skin Lotion | 0.3805/floz
lotion | Body Lotion | Hy-Vee | Soapbox Body Lotion, Vanilla Bean & Fig | 0.4369/floz
lotion | Body Lotion | Walmart | Aveeno Daily Moisturizing Body Lotion | 0.5539/floz
body-wash | Body Wash | Walmart | Suave Strawberry Delight Uplifting Body Wash | 0.165/floz
body-wash | Body Wash | Fareway | Suave Cocoa Butter + Shea Moisturizing Body Wash with Glycerin & Vitamin E, Hydrating Skin Cleanser For Soft, Smooth Skin, Long Lasting Scent, Paraben-Free, 18 FL OZ | 0.165/floz
body-wash | Body Wash | Aldi | Lacura Deep Moisturizing Body Wash | 0.1695/floz
body-wash | Body Wash | Hy-Vee | Dial Spring Water Body Wash, Refresh & Renew, 16 fl oz | 0.3106/floz
chicken-breast | Boneless Skinless Chicken Breast | Family Fare | Boneless Skinless Chicken Breasts | 1.99/lb
chicken-breast | Boneless Skinless Chicken Breast | Walmart | Freshness Guaranteed Boneless Skinless Chicken Breast | 2.48/lb
chicken-breast | Boneless Skinless Chicken Breast | Baker's | Heritage Farm Boneless Skinless Chicken Breasts | 2.89/lb
chicken-breast | Boneless Skinless Chicken Breast | Hy-Vee | Fresh boneless skinless chicken breast, club pack, $2.98 lb. | 2.98/lb
chicken-breast | Boneless Skinless Chicken Breast | Fareway | Boneless Skinless Chicken Breast | 4.99/lb
bottled-water | Bottled Water (24-pack) | Hy-Vee | Hy-Vee Spring Water 24Pk | 0.1246/each
bottled-water | Bottled Water (24-pack) | Aldi | PurAqua Purified Water 24 Pack | 0.1329/each
bottled-water | Bottled Water (24-pack) | Walmart | Great Value Purified Drinking Water 24 Count | 0.1533/each
bottled-water | Bottled Water (24-pack) | Baker's | Kroger Purified Bottled Water | 0.1579/each
bottled-water | Bottled Water (24-pack) | Fareway | Fareway 24 Pack Purified Drinking Water | 0.1612/each
bratwurst | Bratwurst | Aldi | Bratwurst | 2.4842/lb
bratwurst | Bratwurst | Walmart | Marketside Beer 'N Bratwurst 5 Links | 2.5011/lb
bratwurst | Bratwurst | Baker's | Kroger Classic Bratwurst | 4.88/lb
bratwurst | Bratwurst | Hy-Vee | Johnsonville brats or grillers, 16 or 19 oz., $5.88 | 4.9516/lb
bratwurst | Bratwurst | Fareway | Johnsonville Stadium Brats Cooked Bratwurst | 5.1314/lb
bread | Bread (loaf) | Hy-Vee | Dave's Killer bagels 5 ct. or bread thins 20.5 oz., $4.79 | 0.958/each
bread | Bread (loaf) | Baker's | Smart Way Enriched White Bread | 1.19/each
bread | Bread (loaf) | Walmart | Great Value White Round Top Bread Loaf, 20 oz | 1.48/each
bread | Bread (loaf) | Fareway | Corner Store Bread, Original, White | 1.69/each
bread | Bread (loaf) | Family Fare | Sara Lee Honey Wheat Bread 20 Oz | 3/each
bread-crumbs | Bread Crumbs / Panko | Sam's Club | Vigo Italian Style Bread Crumbs, 5 lbs. | 0.0743/oz
bread-crumbs | Bread Crumbs / Panko | Walmart | Great Value Italian Style Bread Crumbs, 15 oz | 0.0813/oz
bread-crumbs | Bread Crumbs / Panko | Aldi | Chef's Cupboard Italian Bread Crumbs | 0.1233/oz
bread-crumbs | Bread Crumbs / Panko | Family Fare | Our Family Bread Crumbs, Italian Style 15 Oz | 0.126/oz
bread-crumbs | Bread Crumbs / Panko | Fareway | Fareway Plain Bread Crumbs 15 oz | 0.166/oz
bread-crumbs | Bread Crumbs / Panko | Hy-Vee | Gustare Vita Italian Bread Crumbs | 0.1858/oz
bread-crumbs | Bread Crumbs / Panko | Baker's | KikkomanÂ® Panko Japanese Style Bread Crumbs | 0.3113/oz
cereal | Breakfast Cereal | Fareway | Fareway Bran Flakes Cereal | 0.1106/oz
cereal | Breakfast Cereal | Hy-Vee | That's Smart! cereal, 12 to 18 oz., $1.99 | 0.1106/oz
cereal | Breakfast Cereal | Aldi | Millville Fruit Rounds Cereal | 0.1516/oz
cereal | Breakfast Cereal | Walmart | Great Value Honey Nut O's Oat Breakfast Cereal | 0.1584/oz
cereal | Breakfast Cereal | Baker's | Cap'n Crunch's Crunch Berries Cereal | 0.2983/oz
cereal | Breakfast Cereal | Family Fare | Cheerios Cereal Large Size 12 Oz | 0.4658/oz
breakfast-sausage | Breakfast Sausage (pork) | Walmart | Farmland Original Pork Breakfast Sausage Roll | 2.87/lb
breakfast-sausage | Breakfast Sausage (pork) | Aldi | Appleton Farms Premium Pork Sausage Roll | 2.89/lb
breakfast-sausage | Breakfast Sausage (pork) | Baker's | Kroger Mild Pork Sausage Roll | 3.29/lb
breakfast-sausage | Breakfast Sausage (pork) | Fareway | Farmland Original Pork Sausage | 3.9867/lb
breakfast-sausage | Breakfast Sausage (pork) | Hy-Vee | Hy-Vee Midwest Pork sausage, 16 oz. roll, $4.49 | 4.49/lb
