canned-corn | Canned Corn | Family Fare | Green Giant Whole Kernal Sweet Corn | 0.1305/oz
diced-tomatoes | Canned Diced Tomatoes | Aldi | Happy Harvest Diced Tomatoes | 0.0614/oz
diced-tomatoes | Canned Diced Tomatoes | Walmart | Great Value Diced Tomatoes in Tomato Juice | 0.0662/oz
diced-tomatoes | Canned Diced Tomatoes | Family Fare | Our Family Tomatoes, Diced, Petite 14.5 Oz | 0.0683/oz
diced-tomatoes | Canned Diced Tomatoes | Fareway | Fareway Diced Tomatoes in Tomato Juice | 0.0683/oz
diced-tomatoes | Canned Diced Tomatoes | Baker's | Kroger Diced Tomatoes | 0.069/oz
diced-tomatoes | Canned Diced Tomatoes | Hy-Vee | Hy-Vee Petite Cut Diced Tomatoes | 0.0711/oz
canned-green-beans | Canned Green Beans | Hy-Vee | That's Smart! Cut Green Beans | 0.0524/oz
canned-green-beans | Canned Green Beans | Aldi | Happy Harvest Cut Green Beans | 0.0531/oz
canned-green-beans | Canned Green Beans | Walmart | Great Value Cut Green Beans | 0.0538/oz
canned-green-beans | Canned Green Beans | Fareway | Fareway Cut Green Beans | 0.0538/oz
canned-mushrooms | Canned Mushrooms | Walmart | Great Value White Mushrooms Pieces and Stems | 0.2262/oz
canned-mushrooms | Canned Mushrooms | Fareway | Fareway Pieces & Stems Mushrooms | 0.2292/oz
canned-mushrooms | Canned Mushrooms | Hy-Vee | Hy-Vee Mushrooms Stems & Pieces | 0.2908/oz
canned-mushrooms | Canned Mushrooms | Aldi | Happy Harvest Mushrooms Pieces & Stems | 0.3625/oz
canned-peaches | Canned Peaches | Aldi | Sweet Harvest Peach Slices in Heavy Syrup | 0.1016/oz
canned-peaches | Canned Peaches | Hy-Vee | That's Smart! Yellow Cling Sliced Peaches in Light Syrup 15 oz | 0.1128/oz
canned-peaches | Canned Peaches | Walmart | Great Value Sliced Yellow Cling Peaches in Juice | 0.1207/oz
canned-peaches | Canned Peaches | Fareway | Del Monte Yellow Cling Sliced Peaches in Heavy Syrup, Canned Fruit | 0.1718/oz
canned-peas | Canned Peas | Hy-Vee | That's Smart! Sweet Peas | 0.0507/oz
canned-peas | Canned Peas | Walmart | Great Value Sweet Peas | 0.052/oz
canned-peas | Canned Peas | Aldi | Happy Harvest Medium Sweet Peas | 0.052/oz
canned-peas | Canned Peas | Fareway | Fareway Sweet Peas | 0.052/oz
canned-pineapple | Canned Pineapple | Aldi | Sweet Harvest Pineapple Chunks | 0.0825/oz
canned-pineapple | Canned Pineapple | Walmart | Great Value Canned Pineapple Chunks in Pineapple Juice | 0.084/oz
canned-pineapple | Canned Pineapple | Hy-Vee | That's Smart! Pineapple Chunks In Pineapple Juice 8 oz | 0.1175/oz
canned-pineapple | Canned Pineapple | Fareway | Dole Pineapple Chunks | 0.205/oz
canned-pinto-beans | Canned Pinto Beans | Aldi | Dakota's Pride Pinto Beans | 0.0548/oz
canned-pinto-beans | Canned Pinto Beans | Walmart | Great Value Pinto Beans | 0.0555/oz
canned-pinto-beans | Canned Pinto Beans | Hy-Vee | Hy-Vee Pinto Beans | 0.0593/oz
canned-pinto-beans | Canned Pinto Beans | Fareway | Fareway Pinto Beans | 0.0639/oz
canned-salmon | Canned Salmon | Aldi | Northern Catch Pink Salmon | 0.2298/oz
canned-salmon | Canned Salmon | Walmart | Great Value Alaskan Pink Salmon | 0.2346/oz
canned-salmon | Canned Salmon | Hy-Vee | Chicken of the Sea Alaskan pink salmon, 14.75 oz., $4.29 | 0.2908/oz
canned-salmon | Canned Salmon | Fareway | Chicken of the Sea Wild Caught Alaskan Pink Salmon, Skinless & Boneless | 0.496/oz
canned-tuna | Canned Tuna | Hy-Vee | Hy-Vee Chunk Light Tuna in Water Free-School Caught | 0.176/oz
canned-tuna | Canned Tuna | Aldi | Northern Catch Chunk Light Tuna in Water | 0.19/oz
canned-tuna | Canned Tuna | Walmart | Great Value Chunk Light Tuna in Water | 0.192/oz
canned-tuna | Canned Tuna | Baker's | Kroger Wild Caught Chunk Light Tuna in Water | 0.194/oz
canned-tuna | Canned Tuna | Fareway | Fareway Chunk Light Tuna in Water | 0.194/oz
cantaloupe | Cantaloupe | Fareway | Cantaloupe Melon | 1.49/each
cantaloupe | Cantaloupe | Walmart | Fresh Cantaloupe | 2.69/each
cantaloupe | Cantaloupe | Baker's | Cantaloupe | 3.5/each
cantaloupe | Cantaloupe | Hy-Vee | Cantaloupe | 4.99/each
carrots | Carrots | Aldi | Carrots, Package | 0.995/lb
carrots | Carrots | Fareway | Carrot | 0.998/lb
carrots | Carrots | Walmart | Fresh Whole Carrots 2-Pound Bag | 1.13/lb
carrots | Carrots | Baker's | Kroger Whole Carrots | 1.145/lb
carrots | Carrots | Hy-Vee | Grimmway Whole Carrots | 1.245/lb
carrots | Carrots | Family Fare | Fresh Baby Carrots Our Family | 1.39/lb
cat-food | Cat Food (dry) | Aldi | Heart to Tail Special Medley Dry Cat Food | 1.1714/lb
cat-food | Cat Food (dry) | Walmart | Purina Friskies Seafood Sensations Dry Cat Food | 1.4984/lb
cat-food | Cat Food (dry) | Fareway | Purina Friskies Dry Cat Food Seafood Sensations With Salmon, Tuna, and Shrimp Flavors | 1.8984/lb
cat-food | Cat Food (dry) | Hy-Vee | Meow Mix Original Choice Dry Cat Food | 2.0603/lb
cat-litter | Cat Litter | Hy-Vee | Hy-Vee Scented Clumping Cat Litter | 0.3196/lb
cat-litter | Cat Litter | Walmart | Special Kitty Scoopable Tight Clumping Cat Litter | 0.393/lb
cat-litter | Cat Litter | Fareway | Purina Tidy Cats Non Clumping Cat Litter, 24/7 Performance Multi Cat Litter Odor Control Formula | 0.398/lb
cat-litter | Cat Litter | Aldi | Heart to Tail Scoopable Cat Litter with Baking Soda | 0.4421/lb
cauliflower | Cauliflower | Fareway | Fareway Cauliflower | 1.98/each
cauliflower | Cauliflower | Aldi | Cauliflower | 2.99/each
cauliflower | Cauliflower | Walmart | Fresh Whole White Cauliflower | 3.97/each
cauliflower | Cauliflower | Baker's | Cauliflower | 4.49/each
celery | Celery | Hy-Vee | PERKS PRICES Bud by Dole celery, SAVE! .50, $1.49 each PERKS PRICES NON-MEMBER PRICE 1.99 | 1.49/each
celery | Celery | Fareway | Celery | 1.99/each
celery | Celery | Aldi | Celery, Package | 2.09/each
