dishwasher-detergent | Dishwasher Detergent (pacs) | Baker's | Kroger Ultra Dishwasher Detergent Pods Fresh Scent | 0.2328/each
dishwasher-detergent | Dishwasher Detergent (pacs) | Walmart | Cascade Platinum Plus Dishwasher Pods 57 Count | 0.4025/each
disinfectant-spray | Disinfectant Spray | Walmart | Great Value Disinfectant Spray | 0.2511/oz
disinfectant-spray | Disinfectant Spray | Hy-Vee | Lysol Crisp Linen Scent Disinfectant Spray | 0.4792/oz
disinfectant-spray | Disinfectant Spray | Fareway | Lysol Disinfectant, Sanitizing and Antibacterial Spray, Crisp Linen | 0.5592/oz
disinfecting-wipes | Disinfecting Wipes | Aldi | Radiance Lemon Disinfectant Wipes | 0.0393/each
disinfecting-wipes | Disinfecting Wipes | Walmart | Great Value Disinfecting Wipes Fresh Scent | 0.0397/each
disinfecting-wipes | Disinfecting Wipes | Hy-Vee | Lysol wipes or disinfectant spray, 80 ct. or 12.5 oz., $5.99 | 0.0749/each
dog-food | Dog Food (dry) | Walmart | Ol' Roy Complete Nutrition T-Bone and Bacon Dry Dog Food | 0.4835/lb
dog-food | Dog Food (dry) | Aldi | Pure Being Chicken and Rice Premium Dog Food | 1.358/lb
dog-food | Dog Food (dry) | Fareway | Pedigree Adult Small Dog Dry Dog Food, Grilled Steak and Vegetable Flavor, 3.5-Pound. Bag | 1.7086/lb
dog-food | Dog Food (dry) | Hy-Vee | Purina Beneful IncrediBites with Real Beef Dog Food | 1.9971/lb
dog-treats | Dog Treats | Walmart | Canine Carry Outs Steak Bites Beef Flavor Dog Treats | 0.2756/oz
dog-treats | Dog Treats | Fareway | Canine Carry Outs Dog Treat | 0.2778/oz
dog-treats | Dog Treats | Aldi | Pure Being Grain Free Beef and Cheddar Dog Treats | 0.5255/oz
dog-treats | Dog Treats | Hy-Vee | Milk-Bone Soft & Chewy Chicken Recipe Dog Treats | 0.8/oz
drain-cleaner | Drain Cleaner | Walmart | Mister Plumber 32oz Drain Opener | 0.0428/floz
drain-cleaner | Drain Cleaner | Baker's | Kroger Pro Strength Drain Cleaner Gel 80 fl oz | 0.0911/floz
drain-cleaner | Drain Cleaner | Fareway | Drano Liquid Drain Cleaner 32 fl oz | 0.1403/floz
drain-cleaner | Drain Cleaner | Family Fare | Drano Drain Cleaner, Liquid 32 Fl Oz | 0.1434/floz
drain-cleaner | Drain Cleaner | Hy-Vee | Drano Liquid Drain Cleaner 32 fl oz | 0.1559/floz
dryer-sheets | Dryer Sheets | Aldi | Tandil Original Fresh Fabric Softener Sheets | 0.0299/each
dryer-sheets | Dryer Sheets | Fareway | Bright Essentials Dryer Sheets, Fresh Scent, Wrinkle Reducing | 0.0328/each
dryer-sheets | Dryer Sheets | Hy-Vee | Hy-Vee Island Scent Fabric Softener Sheets | 0.0374/each
dryer-sheets | Dryer Sheets | Walmart | Snuggle Blue Sparkle Dryer Sheets | 0.0492/each
egg-noodles | Egg Noodles | Aldi | Reggano Wide Egg Noodles | 0.1088/oz
egg-noodles | Egg Noodles | Walmart | Great Value Wide Egg Noodles | 0.1088/oz
egg-noodles | Egg Noodles | Family Fare | Extra Wide Egg Noodles Our Family | 0.1825/oz
egg-noodles | Egg Noodles | Hy-Vee | Hy-Vee egg noodles, 16 oz., $3.48 | 0.2175/oz
egg-noodles | Egg Noodles | Fareway | Fareway Wide Egg Noodles | 0.2325/oz
energy-drinks | Energy Drinks | Aldi | Summit Zero Sugar Watermelon Waves Energy Drink | 0.0992/floz
energy-drinks | Energy Drinks | Hy-Vee | Ghost Zero Sugar Energy Drink, Welch's Grape, 16 fl oz can | 0.1562/floz
energy-drinks | Energy Drinks | Family Fare | Juice Monster Strawberry Lemonade Energy Drink 16 Fl Oz | 0.2056/floz
energy-drinks | Energy Drinks | Walmart | Alani Nu Sugar Free Energy Drink | 0.2225/floz
energy-drinks | Energy Drinks | Fareway | Alani Nu Cotton Candy Energy Drink Can | 0.2242/floz
english-muffins | English Muffins | Walmart | Great Value Original Fork Split English Muffins | 0.27/each
english-muffins | English Muffins | Hy-Vee | Hy-Vee Pre-Sliced Original English Muffins - 6 Muffins | 0.3317/each
english-muffins | English Muffins | Fareway | Fareway Pre-Split Original English Muffins | 0.4983/each
evaporated-milk | Evaporated Milk | Aldi | Baker's Corner Evaporated Milk | 0.0825/oz
evaporated-milk | Evaporated Milk | Walmart | Great Value Evaporated Milk | 0.0833/oz
evaporated-milk | Evaporated Milk | Hy-Vee | Nestle Carnation Evaporated Milk, Vitamin D Added | 0.1433/oz
evaporated-milk | Evaporated Milk | Fareway | Carnation Vitamin D Added Evaporated Milk | 0.258/oz
fabric-softener | Fabric Softener (liquid) | Aldi | Tandil Springtime Fresh Fabric Softener | 0.0884/floz
fabric-softener | Fabric Softener (liquid) | Hy-Vee | Downy Fabric Softener Liquid, April Fresh Scent | 0.1134/floz
fabric-softener | Fabric Softener (liquid) | Walmart | Snuggle Blue Sparkle Liquid Fabric Softener | 0.1135/floz
fabric-softener | Fabric Softener (liquid) | Fareway | Gain Liquid Fabric Softener, Moonlight Breeze Scent | 0.1423/floz
facial-tissues | Facial Tissues | Aldi | Willow 2 Ply Facial Tissue | 0.0097/each
facial-tissues | Facial Tissues | Walmart | Great Value Everyday Soft Facial Tissues | 0.0102/each
facial-tissues | Facial Tissues | Hy-Vee | Hy-Vee facial tissue, 280 ct., $4.99 | 0.0178/each
facial-tissues | Facial Tissues | Fareway | Kleenex Trusted Care Facial Tissues Flat Box 2 Ply | 0.0186/each
feminine-pads | Feminine Pads | Walmart | Equate Maxi Pads Super Absorbency | 0.0829/each
feminine-pads | Feminine Pads | Hy-Vee | Always Maxi Pads for Women, Extra Heavy Overnight Pad with Wings, Size 5, Unscented, 20 Count | 0.3395/each
feminine-pads | Feminine Pads | Fareway | Always Maxi Extra Heavy Overnight Pads Size 5 | 0.3495/each
feta | Feta Cheese | Aldi | Emporium Selection Original Feta Cheese Crumbles | 0.4725/oz
feta | Feta Cheese | Walmart | Frigo Crumbled Feta Cheese | 0.656/oz
feta | Feta Cheese | Fareway | Crystal Farms Cheese, Feta, Crumbled | 0.745/oz
feta | Feta Cheese | Hy-Vee | Soiree Traditional Feta Cheese Crumble | 0.9225/oz
fish-sticks | Fish Sticks (frozen) | Aldi | Fremont Fish Market Breaded Fish Sticks | 0.2188/oz
fish-sticks | Fish Sticks (frozen) | Walmart | Great Value Breaded Fish Sticks | 0.2202/oz
fish-sticks | Fish Sticks (frozen) | Fareway | Van de Kamp's Crunchy Fish Sticks | 0.2431/oz
fish-sticks | Fish Sticks (frozen) | Hy-Vee | Fish Market Crunchy Fish Sticks 30 Ct | 0.298/oz
floor-cleaner | Floor Cleaner | Walmart | Murphy Oil Soap Cleaning Spray, No-Rinse Floor Cleaner, Orange Scent, 22 fl oz Bottle | 0.1355/floz
floor-cleaner | Floor Cleaner | Family Fare | Bona Hardwood Floor Cleaner 64 Fl Oz | 0.1639/floz
floor-cleaner | Floor Cleaner | Fareway | Swiffer WetJet Liquid Floor Cleaner, Lavender 42.2 fl oz | 0.1656/floz
floor-cleaner | Floor Cleaner | Baker's | Bona Hardwood Floor Cleaner Refill 96 fl oz | 0.1666/floz
floor-cleaner | Floor Cleaner | Hy-Vee | Method Squirt + Mop Hard Floor Cleaner, Spearmint Sage, 25 fl oz | 0.3196/floz
storage-bags | Food Storage Bags (gallon) | Hy-Vee | Ziploc storage bags, 105 or 108 ct., $4.49 | 0.0416/each
storage-bags | Food Storage Bags (gallon) | Aldi | Boulder Gallon Storage Bags | 0.0462/each
storage-bags | Food Storage Bags (gallon) | Walmart | Great Value Freezer Guard Double Zipper Freezer Bags Gallon 40 Count | 0.0705/each
storage-bags | Food Storage Bags (gallon) | Baker's | Kroger Double Zipper Reclosable Gallon Freezer Bags | 0.1175/each
storage-bags | Food Storage Bags (gallon) | Fareway | Bright Essentials Freezer Bags, Double Zipper, Gallon Size | 0.152/each
french-bread | French Bread / Baguette | Walmart | Freshness Guaranteed French Bakery Bread Loaf | 1.25/each
french-bread | French Bread / Baguette | Fareway | Bakery Fresh French Baguette | 1.99/each
frosting | Frosting | Aldi | Baker's Corner Vanilla Frosting | 0.1056/oz
frosting | Frosting | Walmart | Great Value Vanilla Frosting Tub White | 0.1075/oz
