half-and-half | Half & Half | Walmart | Great Value Half & Half | 0.08/floz
half-and-half | Half & Half | Fareway | Kemps Fresh Half & Half | 0.1238/floz
half-and-half | Half & Half | Hy-Vee | Hy-Vee Half & Half | 0.1869/floz
deli-ham | Ham (deli / sliced) | Aldi | Lunch Mate Black Forest Ham | 0.2594/oz
deli-ham | Ham (deli / sliced) | Hy-Vee | Smithfield Sliced Deli Ham | 0.3119/oz
deli-ham | Ham (deli / sliced) | Fareway | Cedar Hollow Foods Cherry Wood Ham | 0.3744/oz
deli-ham | Ham (deli / sliced) | Baker's | Land O' Frost Premium Sliced Honey Ham | 0.3744/oz
deli-ham | Ham (deli / sliced) | Walmart | Land O Frost Premium Sandwich Sliced Deli Black Forest Ham | 0.39/oz
deli-ham | Ham (deli / sliced) | Family Fare | Deli Fresh Sliced Ham | 0.8119/oz
hamburger-buns | Hamburger Buns | Fareway | Fareway Premium Hamburger Buns | 0.1658/each
hamburger-buns | Hamburger Buns | Walmart | Great Value White Hamburger Buns 8 Count | 0.185/each
hamburger-buns | Hamburger Buns | Baker's | Smart Way Hamburger Buns | 0.1862/each
hamburger-buns | Hamburger Buns | Hy-Vee | Hy-Vee White Hamburger Buns 8 Count | 0.2488/each
hamburger-buns | Hamburger Buns | Family Fare | Fresh & Finest 8 Ct Egg Hamburger Buns | 0.5988/each
hand-sanitizer | Hand Sanitizer | Walmart | Germ-X Original Hand Sanitizer Gel | 0.2462/floz
hand-sanitizer | Hand Sanitizer | Hy-Vee | Purell Hand Sanitizer 8 oz | 0.4225/floz
hand-sanitizer | Hand Sanitizer | Fareway | PURELL Advanced Hand Sanitizer, Refreshing Gel | 0.4962/floz
hand-soap | Hand Soap (liquid) | Walmart | Equate Liquid Hand Soap Clear Refill | 0.0594/floz
hand-soap | Hand Soap (liquid) | Baker's | Kroger Aloe Vera Scent Liquid Hand Soap Refill | 0.0658/floz
hand-soap | Hand Soap (liquid) | Fareway | Softsoap Aquarium Liquid Hand Soap Refill | 0.1194/floz
hand-soap | Hand Soap (liquid) | Aldi | Lacura Aquarium Liquid Hand Soap | 0.1293/floz
heavy-cream | Heavy Whipping Cream | Aldi | Friendly Farms Heavy Whipping Cream | 0.1434/floz
heavy-cream | Heavy Whipping Cream | Walmart | Great Value Heavy Whipping Cream | 0.185/floz
heavy-cream | Heavy Whipping Cream | Fareway | Hiland Dairy Whipping Cream, Heavy | 0.2494/floz
heavy-cream | Heavy Whipping Cream | Hy-Vee | Land O Lakes Heavy Whipping Cream | 0.3744/floz
honey | Honey | Aldi | Berryhill Honey | 0.2079/oz
honey | Honey | Baker's | Smart Way Honey | 0.2412/oz
honey | Honey | Walmart | Great Value Honey Plastic Bear | 0.2475/oz
honey | Honey | Fareway | Fareway Pure Honey | 0.3123/oz
honey | Honey | Hy-Vee | That's Smart! 100% Honey | 0.3325/oz
honey | Honey | Family Fare | Nate's 100% Pure Hot Honey 16 Oz | 0.6244/oz
honeydew | Honeydew Melon | Fareway | Honeydew Melon | 1.49/each
honeydew | Honeydew Melon | Walmart | Fresh Honeydew Melon | 4.46/each
honeydew | Honeydew Melon | Hy-Vee | Honeydew Melon | 4.99/each
honeydew | Honeydew Melon | Baker's | Honeydew Melon | 4.99/each
hot-dog-buns | Hot Dog Buns | Fareway | Corner Store Hot Dog Buns, White | 0.185/each
hot-dog-buns | Hot Dog Buns | Walmart | Great Value Hot Dog Buns White | 0.185/each
hot-dog-buns | Hot Dog Buns | Hy-Vee | Hy-Vee burger or hot dog buns, 8 ct., $1.88 | 0.235/each
hot-dog-buns | Hot Dog Buns | Baker's | Kroger White Hot Dog Buns | 0.2488/each
hot-dogs | Hot Dogs | Aldi | Parkview Classic Hot Dogs | 0.0825/oz
hot-dogs | Hot Dogs | Baker's | Bar-S Classic Franks, 8-Count | 0.0833/oz
hot-dogs | Hot Dogs | Fareway | Bar-S Classic Franks Hot Dogs | 0.0975/oz
hot-dogs | Hot Dogs | Hy-Vee | Bar-S Classic Franks 12oz | 0.1067/oz
hot-dogs | Hot Dogs | Family Fare | John Morrell Jumbo Franks 12 Oz | 0.1389/oz
hot-dogs | Hot Dogs | Walmart | Ball Park Classic Bun Size Hot Dogs 8 Count | 0.1893/oz
hot-sauce | Hot Sauce | Aldi | Burman's Hot Sauce | 0.1292/floz
hot-sauce | Hot Sauce | Fareway | Valentina Hot Sauce, Mexican | 0.1592/floz
hot-sauce | Hot Sauce | Walmart | The Original Louisiana Brand Hot Sauce | 0.2783/floz
hot-sauce | Hot Sauce | Hy-Vee | Chophouse Meats Jalapeno Pepper Hot Sauce | 0.2983/floz
hot-sauce | Hot Sauce | Family Fare | Frank's Red Hot Hot Honey Squeeze Sauce 12 Fl Oz | 0.4992/floz
hummus | Hummus | Aldi | Park Street Deli Classic Hummus | 0.259/oz
hummus | Hummus | Walmart | Marketside Classic Hummus | 0.287/oz
hummus | Hummus | Hy-Vee | Hy-Vee hummus, 10 oz., 2/ $6.00 | 0.3/oz
hummus | Hummus | Fareway | Sabra Hummus Red Pepper | 0.3738/oz
hummus | Hummus | Family Fare | Fresh & Finest By Our Family Garlic Hummus 10 Oz | 0.449/oz
ice-cream | Ice Cream | Aldi | Sundae Shoppe Vanilla Bean Ice Cream | 0.0519/floz
ice-cream | Ice Cream | Walmart | Great Value Cookies and Cream Ice Cream | 0.0521/floz
ice-cream | Ice Cream | Hy-Vee | Hy-Vee We All Scream! Vanilla Ice Cream | 0.0546/floz
ice-cream | Ice Cream | Fareway | Fareway Vanilla Flavored Ice Cream | 0.06/floz
ice-cream | Ice Cream | Baker's | Kroger 1883 Vanilla Ice Cream Tub | 0.0623/floz
ice-cream | Ice Cream | Family Fare | Edy's Light Vanilla Ice Cream 1.5 Qt | 0.1435/floz
iced-tea | Iced Tea (bottled/gallon) | Walmart | Great Value Sweet Brewed Iced Tea | 0.0255/floz
iced-tea | Iced Tea (bottled/gallon) | Fareway | AriZona Sun Brewed Style with Raspberry Flavor Iced Tea | 0.0303/floz
iced-tea | Iced Tea (bottled/gallon) | Aldi | Milo's Famous Sweet Tea | 0.0304/floz
iced-tea | Iced Tea (bottled/gallon) | Hy-Vee | Gold Peak Black Sweet Tea Bottle, 59 fl oz | 0.0507/floz
insect-spray | Insect / Bug Spray (home) | Baker's | Hot Shot Ant Roach & Spider Killer Crisp Linen 17.5 oz | 0.2566/oz
insect-spray | Insect / Bug Spray (home) | Walmart | Raid Defend Ant & Roach Killer, Indoor Insecticide, Lemon Scent, 20 oz | 0.2985/oz
insect-spray | Insect / Bug Spray (home) | Fareway | Raid Ant Killer Insecticide Aerosol Spray, Pine Forest Fresh Scent 17.5 oz | 0.3994/oz
insect-spray | Insect / Bug Spray (home) | Hy-Vee | Raid Ant & Roach Killer, Indoor Insecticide, Fragrance Free, 17.5 oz | 0.3994/oz
instant-coffee | Instant Coffee | Walmart | Great Value Classic Medium Roast Instant Coffee | 0.7212/oz
instant-coffee | Instant Coffee | Aldi | Nescafe Clasico Instant Coffee | 1.4457/oz
instant-mashed-potatoes | Instant Mashed Potatoes | Aldi | Chef's Cupboard Homestyle Butter Mashed Potatoes | 0.2475/oz
instant-mashed-potatoes | Instant Mashed Potatoes | Hy-Vee | Idahoan Four Cheese Mashed Potatoes | 0.2475/oz
instant-mashed-potatoes | Instant Mashed Potatoes | Walmart | Idahoan Buttery Homestyle Mashed Potatoes | 0.37/oz
instant-mashed-potatoes | Instant Mashed Potatoes | Fareway | Idahoan Buttery Homestyle Mashed Potatoes | 0.37/oz
italian-dressing | Italian Dressing | Fareway | Fareway Zesty Italian Dressing | 0.0619/floz
italian-dressing | Italian Dressing | Aldi | Tuscan Garden Zesty Italian Dressing | 0.1219/floz
italian-dressing | Italian Dressing | Walmart | Great Value Zesty Italian Dressing & Marinade | 0.145/floz
italian-dressing | Italian Dressing | Hy-Vee | Hy-Vee Zesty Italian Dressing | 0.1612/floz
italian-sausage | Italian Sausage | Aldi | USDA Mild Italian Sausage | 2.4842/lb
italian-sausage | Italian Sausage | Walmart | Marketside Mild Italian Sausage 5 Links | 2.5011/lb
italian-sausage | Italian Sausage | Baker's | Kroger Mild Ground Italian Sausage | 4.29/lb
italian-sausage | Italian Sausage | Fareway | Purnells Italian Sausage | 4.99/lb
italian-sausage | Italian Sausage | Hy-Vee | Purnells Old Folks Italian Sausage 16 oz | 5.48/lb
italian-sausage | Italian Sausage | Family Fare | Johnsonville Sausage, Italian, Hot 19 Oz | 5.8863/lb
italian-seasoning | Italian Seasoning | Walmart | Great Value Italian Seasoning, 2 oz | 0.985/oz
italian-seasoning | Italian Seasoning | Sam's Club | Member's Mark Italian Seasoning, 6 oz. | 1.1467/oz
italian-seasoning | Italian Seasoning | Hy-Vee | That's Smart Italian Seasoning 1 oz | 1.25/oz
