oranges | Oranges | Fareway | Navel Orange | 1.4975/lb
dried-oregano | Oregano (dried) | Hy-Vee | Hy-Vee Oregano Leaves | 1.064/oz
dried-oregano | Oregano (dried) | Sam's Club | Member's Mark Oregano | 1.0873/oz
dried-oregano | Oregano (dried) | Family Fare | Badia Spices Whole Oregano   2.5 Oz. | 1.1067/oz
dried-oregano | Oregano (dried) | Walmart | Great Value Oregano Leaves, 0.87 oz | 1.2414/oz
dried-oregano | Oregano (dried) | Aldi | Stonemill Oregano Leaves | 1.32/oz
dried-oregano | Oregano (dried) | Baker's | KrogerÂ® Oregano Leaves Shaker | 1.6959/oz
dried-oregano | Oregano (dried) | Fareway | Badia Spices Oregano 0.5 oz | 4.98/oz
oven-cleaner | Oven Cleaner | Sam's Club | Sprayway Industrial Strength Oven Cleaner 20 oz., 6 pk. | 0.2498/oz
oven-cleaner | Oven Cleaner | Walmart | Great Value Fume Free Oven Cleaner Aerosol Spray, 16 oz | 0.2794/oz
oven-cleaner | Oven Cleaner | Baker's | Easy Off Heavy Duty Oven Cleaner 14.5 oz | 0.3786/oz
oven-cleaner | Oven Cleaner | Hy-Vee | Easy-Off Fume Free Lemon Scent Oven Cleaner Spray 14.5 oz | 0.4131/oz
oven-cleaner | Oven Cleaner | Family Fare | Easy Off Oven Cleaner, Fresh Scent, Heavy Duty 14.5 Oz | 0.5855/oz
pancake-mix | Pancake Mix | Aldi | Millville Buttermilk Pancake Mix | 0.0609/oz
pancake-mix | Pancake Mix | Walmart | Great Value Complete Pancake & Waffle Mix Buttermilk | 0.0619/oz
pancake-mix | Pancake Mix | Hy-Vee | Hy-Vee Buttermilk Complete Pancake & Waffle Mix | 0.0838/oz
pancake-mix | Pancake Mix | Fareway | Fareway Complete Buttermilk Pancake & Waffle Mix | 0.0841/oz
pancake-mix | Pancake Mix | Family Fare | Fast Shake Pancake Mix, Blueberry 5.3 Oz | 0.3377/oz
paper-napkins | Paper Napkins | Walmart | Great Value Disposable Paper Napkins White | 0.007/each
paper-napkins | Paper Napkins | Aldi | Boulder Everyday Napkins | 0.009/each
paper-napkins | Paper Napkins | Hy-Vee | Bounty Paper Napkins, White, 200 Count | 0.0164/each
paper-napkins | Paper Napkins | Fareway | Bright Essentials 2-Ply Everyday Napkins | 0.0199/each
paper-plates | Paper Plates | Hy-Vee | That's Smart! 9 Inch Paper Plates | 0.0348/each
paper-plates | Paper Plates | Aldi | Boulder 9 Inch Coated Paper Plates | 0.0484/each
paper-plates | Paper Plates | Walmart | Great Value Disposable Paper Plates 8.5 Inch | 0.0558/each
paper-plates | Paper Plates | Fareway | Bright Essentials Heavy-Duty Designer 7 Inch Paper Plates | 0.0623/each
paper-towels | Paper Towels | Aldi | Boulder 6 Roll Paper Towels (110 Sheets) | 0.8983/each
paper-towels | Paper Towels | Hy-Vee | That's Smart! Paper Towels, 2-Ply | 0.9933/each
paper-towels | Paper Towels | Walmart | Scott Paper Towels Choose-A-Sheet 6 Double Rolls | 1.14/each
paper-towels | Paper Towels | Fareway | Scott One-Ply Choose-A-Sheet Fast Absorbing Double Rolls Paper Towels | 1.165/each
paper-towels | Paper Towels | Baker's | Kroger Glimmer Select-A-Sheet Paper Towels Double Rolls | 1.495/each
paprika | Paprika | Walmart | Great Value Paprika, 2.5 oz | 0.432/oz
paprika | Paprika | Aldi | Stonemill Paprika | 0.467/oz
paprika | Paprika | Sam's Club | Member's Mark Spanish Style Paprika, 18 oz. | 0.4689/oz
paprika | Paprika | Baker's | Smart Way Ground Paprika 2 oz | 0.625/oz
paprika | Paprika | Family Fare | Paprika Our Family | 0.8443/oz
paprika | Paprika | Fareway | Badia Spices Paprika 2 oz | 1.245/oz
paprika | Paprika | Hy-Vee | Hy-Vee Paprika | 1.4104/oz
parchment-paper | Parchment Paper | Walmart | Great Value Unbleached Parchment Paper 50 Sq Ft | 2.96/each
parchment-paper | Parchment Paper | Fareway | Bright Essentials Parchment Paper | 2.99/each
parmesan | Parmesan (grated/shredded) | Family Fare | Our Family Natural Finely Cut Parmesan Shredded Cheese 6 Oz | 0.2878/oz
parmesan | Parmesan (grated/shredded) | Aldi | Reggano Grated Parmesan Cheese | 0.3488/oz
parmesan | Parmesan (grated/shredded) | Walmart | Great Value Grated Parmesan Cheese | 0.3725/oz
parmesan | Parmesan (grated/shredded) | Fareway | Fareway Parmesan Fancy Shredded Cheese | 0.4133/oz
parmesan | Parmesan (grated/shredded) | Hy-Vee | Hy-Vee Grated Parmesan Cheese | 0.7633/oz
dried-parsley | Parsley (dried) | Sam's Club | Member's Mark Parsley Flakes | 2.0125/oz
dried-parsley | Parsley (dried) | Walmart | Great Value Parsley Flakes, 2.7 oz | 2.2111/oz
dried-parsley | Parsley (dried) | Baker's | Smart Wayâ„¢ Parsley Flakes | 2.5/oz
dried-parsley | Parsley (dried) | Hy-Vee | Hy-Vee Parsley Flakes | 3.32/oz
dried-parsley | Parsley (dried) | Aldi | Stonemill Parsley Flakes | 3.96/oz
dried-parsley | Parsley (dried) | Family Fare | Mc Cormick Parsley Flakes 0.5 Oz | 5.58/oz
dried-parsley | Parsley (dried) | Fareway | McCormick Parsley Flakes 0.25 oz | 7.96/oz
pasta | Pasta (dry) | Aldi | Reggano Spaghetti | 0.0591/oz
pasta | Pasta (dry) | Walmart | Great Value Spaghetti | 0.0606/oz
pasta | Pasta (dry) | Fareway | Fareway Long Spaghetti | 0.0619/oz
