shredded-cheese | Shredded / Block Cheese | Aldi | Happy Farms Mozzarella Cheese Block | 0.2188/oz
shredded-cheese | Shredded / Block Cheese | Baker's | Kroger Sharp Cheddar Shredded Cheese | 0.2306/oz
shredded-cheese | Shredded / Block Cheese | Walmart | Great Value Fiesta Blend Finely Shredded Cheese | 0.2462/oz
shredded-cheese | Shredded / Block Cheese | Hy-Vee | Hy-Vee Shredded Colby Jack Cheese | 0.2809/oz
shredded-cheese | Shredded / Block Cheese | Fareway | Fareway Mild Cheddar Fancy Shredded Cheese | 0.31/oz
shrimp | Shrimp (frozen, raw) | Hy-Vee | Our own ready to cook shrimp boil, Argentina red EZ peel shrimp, red skin potato wedges, Zatarain's andouille smoked sausage, mini sweet corn cobs, garlic herb butter pucks & Old Bay cajun spices, 56 oz. half shrimp boil 28 oz. 12.99, $19.99 | 5.7114/lb
shrimp | Shrimp (frozen, raw) | Family Fare | Open Acres Shrimp & Crab Combo | 5.99/lb
shrimp | Shrimp (frozen, raw) | Baker's | Kroger Peeled & Deveined Tail Off White Raw Shrimp | 6.99/lb
shrimp | Shrimp (frozen, raw) | Walmart | Great Value Frozen Raw Large Peeled Deveined Tail-off Shrimp Value Bag | 7.98/lb
shrimp | Shrimp (frozen, raw) | Aldi | Fremont Fish Market Value Pack Large Raw Peeled Shrimp | 8.245/lb
shrimp | Shrimp (frozen, raw) | Fareway | Supreme Choice Raw Shrimp Shell-On 51-60 ct | 8.6533/lb
sirloin-steak | Sirloin Steak | Hy-Vee | Hy-Vee Angus Reserve Beef Loin Boneless Sirloin Steak | 6.99/lb
sirloin-steak | Sirloin Steak | Fareway | USDA Choice Sirloin Tip Steak | 7.99/lb
sirloin-steak | Sirloin Steak | Walmart | Beef Choice Angus Thin Sliced Sirloin Tip Steak | 8.82/lb
sirloin-steak | Sirloin Steak | Aldi | USDA Choice Black Angus Petite Sirloin Steak | 8.99/lb
sirloin-steak | Sirloin Steak | Family Fare | Fresh Beef Sirloin Top Steak   Value Pack | 11.99/lb
sirloin-steak | Sirloin Steak | Baker's | National Beef Choice Top Sirloin Steak | 14.99/lb
sliced-cheese | Sliced Cheese | Aldi | Happy Farms American Cheese Singles | 0.1542/oz
sliced-cheese | Sliced Cheese | Fareway | Fareway American Cheese Slices | 0.155/oz
sliced-cheese | Sliced Cheese | Walmart | Great Value Singles American Cheese Product 24 Slices | 0.155/oz
sliced-cheese | Sliced Cheese | Baker's | Kroger Singles American Sliced Cheese (24 Slices) | 0.2056/oz
sliced-cheese | Sliced Cheese | Hy-Vee | Hy-Vee Singles American Cheese 24Ct | 0.2488/oz
sliced-cheese | Sliced Cheese | Family Fare | Fresh Sliced American Cheese Kretschmar | 0.6244/oz
soda | Soda (12-pack) | Aldi | Summit Cola 12 Pack | 0.0263/floz
soda | Soda (12-pack) | Walmart | Sam's Cola Soda Pop 12 Pack Cans | 0.0276/floz
soda | Soda (12-pack) | Baker's | Big K Cola Soda Cans | 0.0312/floz
soda | Soda (12-pack) | Fareway | Shasta Cola | 0.0345/floz
soda | Soda (12-pack) | Hy-Vee | Coca-Cola, Sprite or Fresca soda, 2 liter, $2.50 ea. with purchase of 2 | 0.037/floz
soda | Soda (12-pack) | Family Fare | Sprite Zero Sugar Lemon Lime Soda Bottle 2 L | 0.0516/floz
sour-cream | Sour Cream | Aldi | Friendly Farms Sour Cream | 0.1094/oz
sour-cream | Sour Cream | Walmart | Great Value Original Sour Cream | 0.115/oz
sour-cream | Sour Cream | Baker's | Kroger Original Sour Cream | 0.1204/oz
sour-cream | Sour Cream | Fareway | Fareway Sour Cream | 0.1238/oz
sour-cream | Sour Cream | Family Fare | Our Family Sour Cream, Original 24 Oz | 0.1246/oz
sour-cream | Sour Cream | Hy-Vee | Hy-Vee All Natural Sour Cream | 0.1675/oz
soy-sauce | Soy Sauce | Aldi | Fusia Reduced Sodium Soy Sauce | 0.11/floz
soy-sauce | Soy Sauce | Walmart | Great Value Less Sodium Soy Sauce, 15 fl oz | 0.112/floz
soy-sauce | Soy Sauce | Sam's Club | Kikkoman Soy Sauce, 64 oz | 0.1153/floz
soy-sauce | Soy Sauce | Baker's | Kroger Brewed Soy Sauce 15 fl oz | 0.1327/floz
soy-sauce | Soy Sauce | Family Fare | Soy Sauce Our Family | 0.169/floz
soy-sauce | Soy Sauce | Hy-Vee | Lee Kum Kee Premium Dark Soy Sauce | 0.2124/floz
soy-sauce | Soy Sauce | Fareway | Fareway Soy Sauce 10 fl oz | 0.249/floz
sparkling-water | Sparkling Water | Aldi | PurAqua Original Belle Vie Sparkling Flavored Water | 0.0277/floz
sparkling-water | Sparkling Water | Fareway | Clear Frost Sparkling Water, Black Cherry | 0.0293/floz
sparkling-water | Sparkling Water | Walmart | bubly Strawberry Sunset Sparkling Water | 0.0372/floz
sparkling-water | Sparkling Water | Hy-Vee | LaCroix Lime Sparkling Water 12 Pack | 0.0416/floz
sparkling-water | Sparkling Water | Family Fare | Sparkling Ice Zero Sugar Strawberry Watermelon Sparkling Water 17 Fl Oz | 0.0818/floz
spinach | Spinach (fresh) | Aldi | Simply Nature Organic Spinach | 0.1219/oz
spinach | Spinach (fresh) | Walmart | Marketside Fresh Spinach Bag | 0.2/oz
spinach | Spinach (fresh) | Baker's | Kroger Tender Baby Spinach Bag Salad | 0.249/oz
spinach | Spinach (fresh) | Hy-Vee | Dole Spinach | 0.3738/oz
spinach | Spinach (fresh) | Fareway | Dole Salad Baby Spinach | 0.4983/oz
spinach | Spinach (fresh) | Family Fare | Fresh Express Baby Spinach 5 Oz | 0.665/oz
sports-drinks | Sports Drinks | Family Fare | Gatorade Orange Thirst Quencher 28 Fl Oz | 0.0446/floz
sports-drinks | Sports Drinks | Walmart | Gatorade Thirst Quencher Fruit Punch | 0.0485/floz
sports-drinks | Sports Drinks | Aldi | Gatorade Fruit Punch Thirst Quencher | 0.0493/floz
sports-drinks | Sports Drinks | Fareway | Gatorade Frost Thirst Quencher, Glacier Freeze | 0.053/floz
sports-drinks | Sports Drinks | Hy-Vee | Gatorade Frost Glacier Freeze Sports Drink 8 Pack | 0.053/floz
strawberries | Strawberries | Family Fare | Jumex Strawberry Banana Nectar From Concentrate 11.3 Fl Oz | 0.1053/oz
strawberries | Strawberries | Walmart | Fresh Strawberries, 2 lb Container | 0.1475/oz
strawberries | Strawberries | Aldi | Strawberries, 1 lb | 0.1494/oz
strawberries | Strawberries | Baker's | Fresh Strawberries - 1 lb Clamshell | 0.1869/oz
strawberries | Strawberries | Fareway | Strawberries | 0.1869/oz
strawberries | Strawberries | Hy-Vee | Driscoll's Strawberries | 0.3119/oz
string-cheese | String Cheese | Aldi | Happy Farms String Cheese | 0.2575/oz
string-cheese | String Cheese | Walmart | Great Value Part-Skim Mozzarella String Cheese | 0.2733/oz
string-cheese | String Cheese | Fareway | Fareway Low-Moisture Part-Skim Sticks Mozzarella String Cheese | 0.2908/oz
string-cheese | String Cheese | Hy-Vee | Hy-Vee string cheese, 10 or 12 oz., $3.79 | 0.3158/oz
stuffing-mix | Stuffing Mix | Aldi | Chef's Cupboard Chicken Stuffing Mix | 0.1583/oz
stuffing-mix | Stuffing Mix | Hy-Vee | That's Smart Chicken Stuffing Mix | 0.1617/oz
stuffing-mix | Stuffing Mix | Walmart | Great Value Chicken-Flavored Stuffing Mix | 0.1617/oz
stuffing-mix | Stuffing Mix | Fareway | Fareway Cornbread Stuffing Mix | 0.365/oz
stuffing-mix | Stuffing Mix | Family Fare | Stove Top Stuffing Mix For Turkey 6 Oz | 0.4983/oz
sweet-corn | Sweet Corn (ear) | Baker's | Fresh Sweet Corn on the Cob | 0.6/each
sweet-corn | Sweet Corn (ear) | Aldi | Sweet Corn, Package | 0.7375/each
sweet-corn | Sweet Corn (ear) | Walmart | Fresh Sweet Corn on the Cob | 0.74/each
sweet-corn | Sweet Corn (ear) | Fareway | Yellow Sweet Corn | 0.75/each
sweet-corn | Sweet Corn (ear) | Family Fare | Fresh Sweet Corn (4 Ct) | 0.9975/each
sweet-corn | Sweet Corn (ear) | Hy-Vee | Hy-Vee Short Cuts sweet corn, 4 ct. pkg., $4.99 | 1.2475/each
sweet-potatoes | Sweet Potatoes | Aldi | Sweet Potatoes | 1.05/lb
sweet-potatoes | Sweet Potatoes | Baker's | Kroger Sweet Potato Bag | 1.33/lb
sweet-potatoes | Sweet Potatoes | Walmart | Sweet Potatoes Whole Fresh 3-Pound Bag | 1.48/lb
sweet-potatoes | Sweet Potatoes | Hy-Vee | Golden Sweet Potato | 1.49/lb
sweet-potatoes | Sweet Potatoes | Fareway | Sweet Potato (Yam) | 1.49/lb
sweet-potatoes | Sweet Potatoes | Family Fare | Red/Orangy Red Flesh Sweet Potato/Yam/Kumara, Small | 1.79/lb
relish | Sweet Relish | Aldi | Great Gherkins Sweet Relish | 0.1056/oz
relish | Sweet Relish | Hy-Vee | Hy-Vee Sweet Relish 10 oz | 0.169/oz
relish | Sweet Relish | Walmart | Vlasic Sweet Relish | 0.172/oz
relish | Sweet Relish | Fareway | Fareway Sweet Relish | 0.199/oz
condensed-milk | Sweetened Condensed Milk | Aldi | Baker's Corner Sweetened Condensed Milk | 0.1393/oz
condensed-milk | Sweetened Condensed Milk | Walmart | Great Value Sweetened Condensed Milk | 0.1407/oz
condensed-milk | Sweetened Condensed Milk | Fareway | Fareway Sweetened Condensed Milk | 0.1921/oz
condensed-milk | Sweetened Condensed Milk | Hy-Vee | Hy-Vee Sweetened Condensed Milk | 0.1993/oz
maple-syrup | Syrup (pancake / maple) | Aldi | Millville Original Pancake Syrup | 0.0979/floz
maple-syrup | Syrup (pancake / maple) | Hy-Vee | That's Smart! Original Syrup | 0.0983/floz
maple-syrup | Syrup (pancake / maple) | Walmart | Great Value Original Syrup | 0.0983/floz
maple-syrup | Syrup (pancake / maple) | Fareway | Fareway Pancake Syrup | 0.1033/floz
salt | Table Salt | Aldi | Stonemill Iodized Table Salt | 0.0304/oz
salt | Table Salt | Walmart | Great Value Iodized Salt | 0.0362/oz
salt | Table Salt | Baker's | Kroger Iodized Salt | 0.0381/oz
salt | Table Salt | Hy-Vee | Hy-Vee Iodized Salt | 0.0608/oz
salt | Table Salt | Fareway | Morton Iodized Salt | 0.0758/oz
salt | Table Salt | Family Fare | Morton Iodized Salt 26 Oz | 0.0765/oz
tampons | Tampons | Walmart | Playtex Sport Tampons Unscented Multi-Pack | 0.2077/each
tampons | Tampons | Hy-Vee | U by Kotex Click Compact Tampons, Multipack, Regular/Super Absorbency | 0.2827/each
tampons | Tampons | Fareway | Playtex Plastic Tampons Unscented Super Absorbency | 0.305/each
tater-tots | Tater Tots | Aldi | Season's Choice Crispy Tots Potato Puffs | 0.0903/oz
tater-tots | Tater Tots | Walmart | Great Value Tater Tots | 0.092/oz
tater-tots | Tater Tots | Hy-Vee | Ore-Ida Star Tater Tots Core Frozen Potatoes 28 oz | 0.1425/oz
tater-tots | Tater Tots | Fareway | Ore-Ida Crispy Tater Tots | 0.1556/oz
tea-bags | Tea Bags | Walmart | Great Value Black Tea Bags | 0.0218/each
tea-bags | Tea Bags | Fareway | Lipton Yellow Label Black Tea | 0.0598/each
tea-bags | Tea Bags | Hy-Vee | Lipton Yellow Label Black Tea, 50 Ct Tea Bags | 0.0858/each
tilapia | Tilapia Fillets | Aldi | Fremont Fish Market Value Pack Tilapia | 4.425/lb
tilapia | Tilapia Fillets | Baker's | Kroger Farm Raised Tilapia Fillets Frozen | 5/lb
tilapia | Tilapia Fillets | Fareway | Supreme Choice Tilapia, Boneless, Fillets | 7.49/lb
tilapia | Tilapia Fillets | Walmart | Marketside Farm Raised Skinless Tilapia Fillets | 7.98/lb
tilapia | Tilapia Fillets | Hy-Vee | Fresh tilapia fillets, $8.99 lb. | 8.99/lb
toaster-pastries | Toaster Pastries | Walmart | Great Value Frosted Cherry Toaster Pastries | 0.1883/each
toaster-pastries | Toaster Pastries | Aldi | Millville Strawberry Toaster Tarts | 0.1883/each
toaster-pastries | Toaster Pastries | Fareway | Toast'em Pop-ups Toaster Pastries, Strawberry | 0.25/each
toaster-pastries | Toaster Pastries | Hy-Vee | Hy-Vee toaster pastries, 8 ct., $2.29 | 0.2862/each
toilet-bowl-cleaner | Toilet Bowl Cleaner | Aldi | Power Force Toilet Bowl Cleaner | 0.0788/floz
toilet-bowl-cleaner | Toilet Bowl Cleaner | Walmart | Great Value Toilet Bowl Cleaner Fresh Scent | 0.08/floz
toilet-bowl-cleaner | Toilet Bowl Cleaner | Hy-Vee | Lysol Power Toilet Bowl Cleaner | 0.1246/floz
toilet-bowl-cleaner | Toilet Bowl Cleaner | Fareway | Lysol Power Toilet Bowl Cleaner Gel | 0.1246/floz
toilet-paper | Toilet Paper | Fareway | Scott ComfortPlus Toilet Paper, 1-Ply | 0.4975/each
toilet-paper | Toilet Paper | Baker's | Kroger Soft & Strong Toilet Paper Double Roll | 0.5825/each
toilet-paper | Toilet Paper | Aldi | Willow 1000 Sheet Bath Tissue | 0.6408/each
toilet-paper | Toilet Paper | Walmart | Scott ComfortPlus Toilet Paper 12 Mega Rolls | 0.7058/each
toilet-paper | Toilet Paper | Hy-Vee | Hy-Vee Soft and Strong Bath Tissue | 0.7492/each
tomato-paste | Tomato Paste | Sam's Club | Member's Mark Tomato Paste, 6 oz., 12 pk. | 0.1108/oz
tomato-paste | Tomato Paste | Baker's | Kroger Tomato Paste 12 oz | 0.1325/oz
tomato-paste | Tomato Paste | Walmart | Great Value Tomato Paste, 6 oz | 0.1433/oz
tomato-paste | Tomato Paste | Aldi | Happy Harvest Tomato Paste | 0.1433/oz
tomato-paste | Tomato Paste | Fareway | Fareway Tomato Paste 6 oz | 0.1567/oz
tomato-paste | Tomato Paste | Hy-Vee | Hy-Vee Tomato Paste | 0.1575/oz
tomato-paste | Tomato Paste | Family Fare | Our Family Tomato Paste 12 Oz | 0.1575/oz
tomato-sauce | Tomato Sauce (canned) | Sam's Club | Member's Mark Tomato Sauce 106 oz. | 0.0489/oz
tomato-sauce | Tomato Sauce (canned) | Aldi | Happy Harvest Tomato Sauce | 0.0588/oz
tomato-sauce | Tomato Sauce (canned) | Baker's | Kroger Tomato Sauce 29 oz | 0.0617/oz
tomato-sauce | Tomato Sauce (canned) | Walmart | Great Value Tomato Sauce, 15 oz | 0.064/oz
tomato-sauce | Tomato Sauce (canned) | Family Fare | Our Family Tomato Sauce 15 Oz | 0.0727/oz
tomato-sauce | Tomato Sauce (canned) | Hy-Vee | Hy-Vee Tomato Sauce | 0.0793/oz
tomato-sauce | Tomato Sauce (canned) | Fareway | Fareway Tomato Sauce 28 oz | 0.0889/oz
tomato-soup | Tomato Soup (canned) | Walmart | Great Value Tomato Condensed Soup | 0.0688/oz
tomato-soup | Tomato Soup (canned) | Fareway | Fareway Condensed Tomato Soup | 0.0912/oz
tomato-soup | Tomato Soup (canned) | Aldi | Campbell's Condensed Tomato Soup | 0.1191/oz
tomato-soup | Tomato Soup (canned) | Hy-Vee | Campbell's Condensed Tomato Soup, 10.75 oz Can | 0.1191/oz
tomatoes | Tomatoes (fresh) | Hy-Vee | Hy-Vee tomatoes, 28 or 29 oz., $1.88 | 1.0372/lb
tomatoes | Tomatoes (fresh) | Aldi | Roma Tomatoes | 1.15/lb
tomatoes | Tomatoes (fresh) | Walmart | Fresh Roma Tomato | 1.27/lb
tomatoes | Tomatoes (fresh) | Fareway | Roma Tomato | 1.29/lb
tomatoes | Tomatoes (fresh) | Baker's | Fresh Roma Tomato | 1.49/lb
tomatoes | Tomatoes (fresh) | Family Fare | Fresh Tomatoes, Hot House | 2.29/lb
toothbrushes | Toothbrushes | Walmart | Equate Manual Toothbrushes Soft | 0.1667/each
toothbrushes | Toothbrushes | Aldi | Dentiguard Premium Toothbrushes, Medium | 0.975/each
toothbrushes | Toothbrushes | Hy-Vee | Colgate Plus Soft Toothbrush | 1/each
toothbrushes | Toothbrushes | Fareway | GoodSense Complete Clean With Tongue Cleaner Medium Toothbrush | 1.245/each
toothpaste | Toothpaste | Walmart | Colgate Baking Soda and Peroxide Whitening Toothpaste | 0.3283/oz
toothpaste | Toothpaste | Fareway | Crest Baking Soda & Peroxide Whitening Toothpaste, Fresh Mint | 0.4368/oz
toothpaste | Toothpaste | Hy-Vee | Colgate Cavity Protection Great Regular Flavor Fluoride Toothpaste | 0.5817/oz
toothpaste | Toothpaste | Aldi | Crest Deep Clean Whitening Toothpaste | 0.763/oz
tortilla-chips | Tortilla Chips | Baker's | Kroger White Corn Restaurant Style Tortilla Chips | 0.1377/oz
tortilla-chips | Tortilla Chips | Aldi | Clancy's Restaurant Style Tortilla Chips | 0.1654/oz
tortilla-chips | Tortilla Chips | Walmart | Great Value Restaurant Style White Corn Tortilla Chips | 0.1669/oz
tortilla-chips | Tortilla Chips | Hy-Vee | Hy-Vee White Corn Restaurant Style Tortilla Chips | 0.2069/oz
tortilla-chips | Tortilla Chips | Fareway | Fareway Restaurant Style White Corn Tortilla Chips | 0.2129/oz
tortilla-chips | Tortilla Chips | Family Fare | Doritos Tortilla Chips, Chile Limon, Rolled 10.75 Oz | 0.3405/oz
tortillas | Tortillas (flour) | Baker's | Kroger Fajita Size Flour Tortillas | 0.1145/each
tortillas | Tortillas (flour) | Hy-Vee | Hy-Vee Flour Tortilla Great for Fajitas 10Ct | 0.149/each
tortillas | Tortillas (flour) | Fareway | Frescados Flour Taco Style Tortillas | 0.1658/each
tortillas | Tortillas (flour) | Walmart | Great Value Medium Soft Taco Flour Tortillas 10 Count | 0.198/each
trash-bags | Trash Bags (13 gal) | Hy-Vee | Tall Kitchen Bags With Twist Ties | 0.0569/each
trash-bags | Trash Bags (13 gal) | Aldi | Boulder Drawstring Kitchen Trash Bags | 0.1331/each
trash-bags | Trash Bags (13 gal) | Fareway | Bright Essentials Trash Bags, Tall Kitchen, Drawstring, Unscented | 0.1443/each
trash-bags | Trash Bags (13 gal) | Baker's | Kroger Tall Kitchen Drawstring 13 Gallon Trash Bags | 0.1499/each
trash-bags | Trash Bags (13 gal) | Walmart | Great Value 13-Gallon Drawstring Tall Kitchen Trash Bags 40 Count | 0.162/each
turkey-lunchmeat | Turkey (deli / sliced) | Aldi | Lunch Mate Oven Roasted Turkey Breast | 0.2594/oz
turkey-lunchmeat | Turkey (deli / sliced) | Walmart | Great Value Oven Roasted Turkey Breast Lunchmeat | 0.3731/oz
turkey-lunchmeat | Turkey (deli / sliced) | Fareway | Oscar Mayer Deli Fresh Oven Roasted Turkey Breast | 0.4178/oz
turkey-lunchmeat | Turkey (deli / sliced) | Hy-Vee | Hillshire Farm Ultra Thin Sliced Oven Roasted Turkey Breast Sandwich Meat, 9 oz | 0.4311/oz
