id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
turkey-lunchmeat,Turkey (deli / sliced),oz,0.5544,,,,0.5544,0.2594,,,,0.2594,0.3564,,,,0.3564,0.4994,0.4178,2026-07-31,2026-08-30,0.4178,0.3431,0.4056,2026-08-19,2026-09-16,0.3431,0.41,,,,0.41,0.265,,,,0.265
canned-yams,Canned Yams / Sweet Potatoes,oz,0.1248,,,,0.1248,,,,,,0.1248,,,,0.1248,0.1248,,,,0.1248,0.0998,,,,0.0998,0.0748,,,,0.0748,0.0718,,,,0.0718
cranberry-sauce,Cranberry Sauce (canned),oz,0.1271,,,,0.1271,,,,,,0.1993,,,,0.1993,0.1914,0.1771,2026-08-11,2026-09-10,0.1771,0.1421,,,,0.1421,0.1426,,,,0.1426,0.1038,,,,0.1038
cotton-swabs,Cotton Swabs,each,0.0133,,,,0.0133,0.0043,,,,0.0043,0.0056,,,,0.0056,0.0205,0.0146,2026-08-11,2026-09-10,0.0146,0.0047,0.0071,2026-08-19,2026-09-02,0.0047,0.0053,,,,0.0053,0.0033,,,,0.0033
frosting,Frosting,oz,0.1212,,,,0.1212,0.1056,,,,0.1056,0.1431,,,,0.1431,0.1556,0.1244,2026-08-09,2026-09-08,0.1244,0.1244,0.1119,2026-08-19,2026-09-02,0.1119,0.0989,,,,0.0989,0.1099,,,,0.1099
toothbrushes,Toothbrushes,each,1,,,,1,0.975,,,,0.975,0.9317,,,,0.9317,1.245,,,,1.245,0.8225,1.19,2026-08-19,2026-09-02,0.8225,1.6212,,,,1.6212,0.1667,,,,0.1667
ground-pork,Ground Pork,lb,,,,,,3.29,,,,3.29,4.49,,,,4.49,3.99,,,,3.99,6,,,,6,2.98,,,,2.98,3.9467,,,,3.9467
cherries,Cherries (fresh),lb,6.99,,,,6.99,2.49,,,,2.49,,,,,,,,,,,5.99,,,,5.99,2.94,,,,2.94,6.9689,,,,6.9689
toilet-paper,Toilet Paper,each,0.7492,0.5825,2026-08-24,2026-08-30,0.5825,,,,,,0.8121,,,,0.8121,0.7483,0.4975,,,0.4975,0.5658,0.5408,2026-07-22,2026-09-16,0.5408,0.5502,,,,0.5502,0.9725,,,,0.9725
plastic-wrap,Plastic Wrap,each,2.99,,,,2.99,,,,,,2.79,,,,2.79,2.99,2.68,2026-08-11,2026-09-10,2.68,2.29,,,,2.29,3.49,,,,3.49,2.14,,,,2.14
corn-dogs,Corn Dogs (frozen),each,0.8067,,,,0.8067,,,,,,0.6244,,,,0.6244,0.8317,0.795,2026-08-11,2026-09-10,0.795,0.4994,0.6244,2026-08-19,2026-09-02,0.4994,0.449,,,,0.449,0.4356,,,,0.4356
canned-white-beans,Canned White Beans (Great Northern / Cannellini / Navy),oz,0.0639,,,,0.0639,0.0548,,,,0.0548,0.1413,,,,0.1413,0.0865,0.0639,2026-08-09,2026-09-08,0.0639,0.0645,,,,0.0645,,,,,,0.0594,,,,0.0594
parchment-paper,Parchment Paper,each,,,,,,,,,,,3.29,,,,3.29,3.99,2.99,2026-08-11,2026-09-10,2.99,3.99,,,,3.99,7.76,,,,7.76,2.96,,,,2.96
cauliflower,Cauliflower,each,,,,,,2.89,,,,2.89,3.79,,,,3.79,2.69,1.98,,,1.98,,,,,,3.82,,,,3.82,3.97,,,,3.97
pineapple,Pineapple (whole),each,3.99,,,,3.99,1.89,,,,1.89,,,,,,2.12,1.68,,,1.68,,,,,,2.97,,,,2.97,2.245,,,,2.245
egg-noodles,Egg Noodles,oz,0.2056,,,,0.2056,0.1088,,,,0.1088,0.1825,,,,0.1825,0.2492,0.2325,,,0.2325,0.1244,,,,0.1244,0.1425,,,,0.1425,0.1088,,,,0.1088
rotisserie-chicken,Rotisserie Chicken,each,5.99,,,,5.99,,,,,,7.99,,,,7.99,8.99,,,,8.99,,,,,,4.98,,,,4.98,5.97,,,,5.97
papaya,Papaya,each,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,,,3.27,,,,,
oven-cleaner,Oven Cleaner,oz,0.4131,,,,0.4131,,,,,,0.5855,,,,0.5855,0.4131,0.3779,2026-08-11,2026-09-10,0.3779,0.4683,,,,0.4683,0.2498,,,,0.2498,0.2794,,,,0.2794
gruyere,Gruyere Cheese,oz,0.7129,,,,0.7129,0.9483,,,,0.9483,,,,,,1.7488,,,,1.7488,1.0612,,,,1.0612,0.7419,,,,0.7419,0.3713,,,,0.3713
paper-towels,Paper Towels,each,0.9933,,,,0.9933,0.5825,,,,0.5825,1.4988,,,,1.4988,2.2475,1.745,2026-08-03,2026-09-02,1.745,1.395,1.3317,2026-07-29,2026-08-26,1.3317,1.7488,,,,1.7488,1.14,,,,1.14
string-cheese,String Cheese,oz,,,,,,0.2575,,,,0.2575,0.3992,,,,0.3992,0.349,,,,0.349,0.229,0.4167,2026-08-12,2026-09-23,0.229,0.1973,,,,0.1973,0.2567,,,,0.2567
toothpaste,Toothpaste,oz,0.5817,,,,0.5817,0.763,,,,0.763,0.4012,,,,0.4012,0.5246,0.4333,2026-08-09,2026-09-08,0.4333,0.3094,0.3548,2026-08-19,2026-09-02,0.3094,0.301,,,,0.301,0.3123,,,,0.3123
paper-napkins,Paper Napkins,each,0.0164,,,,0.0164,0.009,,,,0.009,0.0214,,,,0.0214,0.0249,0.0199,2026-08-11,2026-09-10,0.0199,0.0092,0.0175,2026-07-27,2026-10-19,0.0092,0.0059,,,,0.0059,0.007,,,,0.007
grits,Grits (quick),oz,0.1662,,,,0.1662,,,,,,0.1871,,,,0.1871,0.1246,,,,0.1246,0.1662,,,,0.1662,0.0449,,,,0.0449,0.0485,,,,0.0485
pita-bread,Pita Bread,each,0.615,,,,0.615,,,,,,0.9975,,,,0.9975,0.798,,,,0.798,0.4983,0.415,2026-07-29,2026-08-26,0.415,0.4927,,,,0.4927,0.87,,,,0.87
whole-cloves,Whole cloves,oz,9.592,,,,9.592,,,,,,2.99,,,,2.99,,,,,,4.392,,,,4.392,1.0891,,,,1.0891,2.4923,,,,2.4923
