q|n|lp|up|id
sesame seeds|Member's Mark White Sesame Seed, 20.5 oz.|$7.98|$0.39/oz|17777018655
sesame seeds|Member's Mark Black Sesame Seed, 22 oz.|$7.98|$0.36/oz|17787764079
cajun seasoning|Kinder's Cajun Seasoning, 9.2 oz.|$5.98|$0.65/oz|17093061115
cajun seasoning|Member's Mark Cajun Seasoning, 22 oz.|$9.98|$0.45/oz|17089765786
cajun seasoning|Tony Chachere's Original Creole Seasoning 32 oz.|$5.33|$0.17/oz|13758664381
taco seasoning|Member's Mark Taco Seasoning, 23 oz.|$6.98|$0.30/oz|17019619523
taco seasoning|Old El Paso Original Taco Seasoning 1 oz., 10 pk.|$6.98|$0.70/ea|13581873768
taco seasoning|Spanglish Asadero Taco Seasoning, 7 oz.|$5.98|$0.85/oz|15463471850
taco seasoning|McCormick Original Taco Seasoning Mix, 1 oz., 12 pk.|$7.78|$0.65/ea|5210003739
ranch seasoning mix|Hidden Valley Original Ranch Salad Dressing and Seasoning Mix, 16 oz.|$8.98|$0.56/oz|7110021078
curry powder|Member's Mark Salt-Free Curry Powder, 18 oz.|$8.98|$0.50/oz|13629410820
cayenne pepper|Member's Mark Cayenne Pepper, 16 oz.|$7.58|$0.47/oz|13891214885
dried thyme|Member's Mark Thyme Leaves, 8.25 oz.|$7.24|$0.88/oz|13908405858
dried basil|Member's Mark Dried Basil Leaf, 6.25 oz.|$6.64|$1.06/oz|13591373938
bay leaves|Member's Mark Whole Bay Leaves, 2 oz.|$8.54|$4.27/oz|13613464913
ground ginger|Member's Mark Organic Ground Ginger, 7 oz.|$5.58|$0.80/oz|13591373069
walnuts|Member's Mark Natural Shelled Walnuts, 48 oz.|$12.72|$0.27/oz|13758664374
walnuts|Members Mark Halves & Pieces Walnuts, 32 oz.|$8.48|$0.27/oz|16938718244
walnuts|Hammons Shelled American Fancy Large Black Walnut Pieces|$11.68|$0.58/oz|13610315278
grits|Quaker Quick 5-Minute Grits 5 lb., 3 pk.|$10.78|$0.04/oz|3000044053
grits|Quaker Instant Grits, Variety Pack, .98 oz., 46 pk.|$10.28|$0.22/ea|13602018247
corn muffin mix|JIFFY Corn Muffin Mix, 40 oz.|$2.82|$0.07/oz|13875408667
corn muffin mix|Krusteaz Gluten Free Honey Cornbread & Muffin Mix, 15 oz., 3 pk.|$12.24|$0.27/oz|19452509616
refrigerated biscuits|Pillsbury Southern Style Biscuits 2 oz., 24 pk.|$6.98|$0.15/oz|13586700838
cheese tortellini|Member's Mark Five Cheese Tortellini (24 oz., 2 pk.)|$10.53|$0.22/oz|13862021192
sun dried tomatoes|Terra Verde Italian Sundried Tomatoes in Oil, 24 oz.|$9.98|$0.42/oz|17242460680
tomatillos|Southern Valley Farm Fresh Peeled Tomatillos, 16 oz.|$2.96|$0.18/oz|19644657661
