id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
93-7-ground-turkey,93/7 Ground Turkey,lb,,,,,,4.075,,,,4.075,,,,,,,,,,,5.49,,,,5.49,,,,,,4.55,,,,4.55
enchilada-sauce,Enchilada Sauce,oz,0.1139,,,,0.1139,0.2805,,,,0.2805,0.159,,,,0.159,,,,,,0.0925,,,,0.0925,,,,,,0.1061,,,,0.1061
red-wine-vinegar,Red Wine Vinegar,oz,0.4825,,,,0.4825,0.1769,,,,0.1769,0.2354,,,,0.2354,0.2355,,,,0.2355,0.1869,0.2244,2026-07-20,2026-10-11,0.1869,,,,,,0.18,,,,0.18
turkey-pepperoni,Turkey Pepperoni,oz,,,,,,0.578,,,,0.578,0.9975,,,,0.9975,,,,,,0.658,0.9975,2026-09-09,2026-09-29,0.658,,,,,,0.5887,,,,0.5887
pepper-jack-cheese,Pepper Jack Cheese,oz,,,,,,0.2188,,,,0.2188,,,,,,,,,,,0.2306,,,,0.2306,,,,,,0.2238,,,,0.2238
cashews,Cashews,oz,,,,,,0.3493,,,,0.3493,,,,,,,,,,,0.998,,,,0.998,,,,,,0.6433,0.5463,2026-08-31,2026-09-30,0.5463
no-boil-lasagna-noodles,No-Boil Lasagna Noodles,oz,0.2067,,,,0.2067,0.1292,,,,0.1292,,,,,,,,,,,,,,,,,,,,,0.135,,,,0.135
curry-powder,Curry Powder,oz,,,,,,,,,,,1.395,,,,1.395,2.8514,,,,2.8514,1.599,,,,1.599,,,,,,1.06,,,,1.06
sriracha,Sriracha,floz,,,,,,,,,,,0.49,,,,0.49,,,,,,0.4082,,,,0.4082,,,,,,0.2064,0.5925,2026-08-31,2026-09-30,0.2064
tomatillos,Tomatillos,lb,4.99,,,,4.99,,,,,,2.49,,,,2.49,2.49,,,,2.49,2.99,,,,2.99,,,,,,1.8182,,,,1.8182
white-wine-vinegar,White Wine Vinegar,floz,0.1869,,,,0.1869,0.1769,,,,0.1769,0.2825,,,,0.2825,,,,,,,,,,,,,,,,,,,,
frozen-broccoli-florets,Frozen Broccoli Florets,oz,,,,,,0.0958,,,,0.0958,0.1492,,,,0.1492,,,,,,0.121,0.1344,2026-09-09,2026-11-03,0.121,,,,,,0.09,,,,0.09
salsa-verde,Salsa Verde,oz,,,,,,0.2431,,,,0.2431,0.2244,,,,0.2244,,,,,,0.1662,,,,0.1662,,,,,,0.1271,,,,0.1271
almond-butter,Almond Butter,oz,,,,,,0.2992,,,,0.2992,0.4369,,,,0.4369,,,,,,,,,,,,,,,,,,,,
kidney-beans,Kidney Beans,oz,0.0639,,,,0.0639,0.0548,,,,0.0548,0.0927,,,,0.0927,,,,,,0.0638,,,,0.0638,,,,,,0.0594,,,,0.0594
brown-sugar,Brown Sugar,oz,0.0578,,,,0.0578,0.0578,,,,0.0578,0.1439,,,,0.1439,,,,,,0.0716,,,,0.0716,,,,,,0.0619,0.2327,2026-08-31,2026-09-30,0.0619
swiss-cheese,Swiss Cheese,oz,,,,,,0.2129,,,,0.2129,0.3238,,,,0.3238,,,,,,,,,,,,,,,,0.2088,,,,0.2088
smoked-paprika,Smoked Paprika,oz,,,,,,1.2438,,,,1.2438,0.9986,,,,0.9986,,,,,,3.1371,2.9259,2026-08-19,2026-09-29,2.9259,,,,,,2.0114,,,,2.0114
bone-broth,Bone Broth,floz,,,,,,0.1059,,,,0.1059,0.0841,,,,0.0841,,,,,,0.1247,,,,0.1247,,,,,,0.115,,,,0.115
soy-sauce,Soy Sauce,oz,0.2361,,,,0.2361,0.11,,,,0.11,0.169,,,,0.169,0.249,0.199,2026-09-21,2026-09-26,0.199,0.1247,,,,0.1247,,,,,,0.1153,,,,0.1153
hot-honey,Hot Honey,oz,,,,,,0.3992,,,,0.3992,0.6244,,,,0.6244,,,,,,0.6242,0.6658,2026-08-24,2026-10-18,0.6242,,,,,,0.4133,,,,0.4133
provolone-cheese,Provolone Cheese,oz,,,,,,0.1862,,,,0.1862,1.198,,,,1.198,,,,,,1.3317,,,,1.3317,,,,,,,,,,
sesame-oil,Sesame Oil,oz,,,,,,0.4432,,,,0.4432,1.078,,,,1.078,0.7887,,,,0.7887,0.6653,0.532,2026-09-09,2026-09-29,0.532,,,,,,0.5365,,,,0.5365
monterey-jack-cheese,Monterey Jack Cheese,oz,,,,,,0.2188,,,,0.2188,0.3238,,,,0.3238,,,,,,0.2306,,,,0.2306,,,,,,0.2238,,,,0.2238
pork-loin,Pork Loin,lb,,,,,,2.09,,,,2.09,3.99,,,,3.99,,,,,,,,,,,,,,,,2.1399,,,,2.1399
colby-jack-cheese,Colby Jack Cheese,oz,,,,,,0.2325,,,,0.2325,0.2494,,,,0.2494,,,,,,0.2278,,,,0.2278,,,,,,0.2162,,,,0.2162
reduced-fat-cheddar,Reduced Fat Cheddar Cheese,oz,,,,,,0.2536,,,,0.2536,,,,,,,,,,,,,,,,,,,,,,,,,
jasmine-rice,Jasmine Rice (Dry),oz,,,,,,0.0794,,,,0.0794,,,,,,,,,,,,,,,,,,,,,0.0726,,,,0.0726
jerk-seasoning,Jerk Seasoning,oz,,,,,,,,,,,,,,,,,,,,,0.599,,,,0.599,,,,,,,,,,
liquid-smoke,Liquid Smoke,floz,,,,,,,,,,,,,,,,,,,,,0.7475,,,,0.7475,,,,,,,,,,
masa-harina,Masa Harina,oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0622,,,,0.0622
capers,Capers,floz,,,,,,,,,,,,,,,,,,,,,0.9686,,,,0.9686,,,,,,,,,,
toasted-sesame-seeds,Toasted Sesame Seeds,oz,,,,,,,,,,,0.2959,,,,0.2959,,,,,,0.2959,1.4431,2026-08-24,2026-10-18,0.2959,,,,,,0.243,,,,0.243
au-jus-gravy-mix,Au Jus Gravy Mix,oz,,,,,,,,,,,,,,,,,,,,,1.19,,,,1.19,,,,,,,,,,
boneless-beef-short-ribs,Boneless Beef Short Ribs,lb,,,,,,,,,,,,,,,,,,,,,11.99,,,,11.99,,,,,,,,,,
frozen-chopped-spinach,Frozen Chopped Spinach,oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1319,,,,0.1319
reduced-fat-mozzarella,Reduced Fat Mozzarella,oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2175,,,,0.2175
ground-mustard,Ground Mustard,oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9543,,,,2.9543
fat-free-cheddar,Fat-Free Cheddar Cheese,oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2814,,,,0.2814
sweet-chili-sauce,Sweet Chili Sauce,floz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2725,,,,0.2725
fajita-seasoning,Fajita Seasoning Packet,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,0.77
golden-raisins,Golden Raisins,oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2653,,,,0.2653
breaded-chicken-breast-bites,Breaded Chicken Breast Bites,oz,,,,,,,,,,,,,,,,,,,,,0.6245,,,,0.6245,,,,,,,,,,
cilantro-lime-rice,Cilantro Lime Rice (ready/frozen),oz,,,,,,,,,,,0.3018,,,,0.3018,,,,,,0.1693,0.2034,2026-08-24,2026-10-18,0.1693,,,,,,,,,,
gochujang,Gochujang,oz,,,,,,,,,,,,,,,,,,,,,0.2321,,,,0.2321,,,,,,0.2904,,,,0.2904
celery-salt,Celery Salt,oz,,,,,,,,,,,0.4158,,,,0.4158,,,,,,0.8773,,,,0.8773,,,,,,,,,,
corn-tortillas,Corn Tortillas,each,,,,,,,,,,,,,,,,,,,,,0.0561,0.0597,2026-09-16,2026-10-13,0.0561,,,,,,0.0371,,,,0.0371
buffalo-wing-sauce,Buffalo Wing Sauce,floz,,,,,,,,,,,0.3119,,,,0.3119,,,,,,0.2369,0.2242,2026-09-16,2026-11-03,0.2242,,,,,,0.2025,,,,0.2025
shredded-carrots,Shredded Carrots,oz,0.199,0.188,2026-09-21,2026-09-27,0.188,,,,,,0.249,,,,0.249,,,,,,0.229,,,,0.229,,,,,,0.243,,,,0.243
garlic-herb-cheese-spread,Garlic & Herb Cheese Spread,oz,,,,,,,,,,,,,,,,,,,,,1.3189,,,,1.3189,,,,,,,,,,
sugar-free-bbq-sauce,Sugar-Free BBQ Sauce,oz,,,,,,,,,,,0.2265,,,,0.2265,,,,,,0.2049,,,,0.2049,,,,,,0.1768,,,,0.1768
tahini,Tahini,oz,,,,,,,,,,,,,,,,0.5619,,,,0.5619,0.4556,0.4396,2026-08-12,2026-09-29,0.4396,,,,,,0.4044,,,,0.4044
fat-free-mozzarella,Fat Free Mozzarella,oz,,,,,,,,,,,,,,,,,,,,,0.47,,,,0.47,,,,,,0.7114,,,,0.7114
hoisin-sauce,Hoisin Sauce,oz,,,,,,,,,,,0.3495,,,,0.3495,0.3929,,,,0.3929,0.2995,0.2895,2026-08-17,2026-10-11,0.2895,,,,,,0.248,,,,0.248
sugar-free-maple-syrup,Sugar-Free Maple Syrup,oz,,,,,,,,,,,,,,,,,,,,,0.1121,,,,0.1121,,,,,,0.1017,,,,0.1017
cotija-cheese,Cotija Cheese,oz,,,,,,,,,,,0.599,,,,0.599,,,,,,0.4738,,,,0.4738,,,,,,0.3644,,,,0.3644
light-sour-cream,Light Sour Cream,oz,,,,,,0.1094,,,,0.1094,0.2369,,,,0.2369,,,,,,0.1244,,,,0.1244,,,,,,0.115,,,,0.115
hot-italian-sausage,Hot Italian Sausage,lb,,,,,,2.4842,,,,2.4842,5.8863,5.4653,2026-09-20,2026-09-26,5.4653,,,,,,3.5467,3.99,2026-09-16,2026-10-13,3.5467,,,,,,4.92,,,,4.92
mexican-cheese-blend,Mexican Cheese Blend,oz,,,,,,0.2325,,,,0.2325,0.2466,0.4738,2026-09-20,2026-09-26,0.2466,,,,,,0.2278,,,,0.2278,,,,,,0.2155,,,,0.2155
frozen-green-peas,Frozen Green Peas,oz,0.0547,,,,0.0547,0.054,,,,0.054,0.0996,0.0833,2026-09-20,2026-09-26,0.0833,0.0747,0.0453,2026-09-20,2026-09-26,0.0453,0.0553,0.149,2026-09-04,2026-10-25,0.0553,0.1082,,,,0.1082,0.0547,,,,0.0547
zero-sugar-soda-2l,Zero-Sugar Soda (2 L),floz,,,,,,,,,,,0.0516,0.0444,2026-09-20,2026-09-26,0.0444,,,,,,0.0148,,,,0.0148,,,,,,0.0148,,,,0.0148
greek-yogurt,Greek Yogurt,oz,0.1403,,,,0.1403,0.0872,0.0872,2026-09-23,2026-09-29,0.0872,,0.1887,2026-09-20,2026-09-26,0.1887,,,,,,0.1403,,,,0.1403,,,,,,0.234,,,,0.234
red-bell-pepper,Red Bell Pepper,each,,,,,,,,,,,,1,2026-09-20,2026-09-26,1,,,,,,,,,,,,,,,,,,,,
hickory-smoked-bacon,Hickory Smoked Bacon,lb,,,,,,4.1667,,,,4.1667,7.49,5.32,2026-09-20,2026-09-26,5.32,,,,,,5.32,5.99,2026-09-23,2026-09-29,5.32,4.42,,,,4.42,3.96,4.4639,2026-08-31,2026-09-30,3.96
poblano-peppers,Poblano Peppers,lb,,,,,,4.784,,,,4.784,3.137,3.99,2026-09-20,2026-09-26,3.137,2.99,,,,2.99,3.49,,,,3.49,,,,,,3.26,,,,3.26
hominy,Hominy,oz,,,,,,,,,,,0.1031,0.0645,2026-09-20,2026-09-26,0.0645,,,,,,0.0426,,,,0.0426,,,,,,0.0402,,,,0.0402
