q|n|lp|up|id
boneless skinless chicken breast|Member's Mark Boneless and Skinless Chicken Breast, priced per pound|$14.11|$2.48/lb|13588173694
chicken thighs|Member's Mark Bone-In Chicken Thighs, priced per pound|$7.88|$1.28/lb|13608013618
80/20 ground beef|Member's Mark 80/20 Ground Beef Roll, Vacuum Pack, priced per pound|$59.88|$5.56/lb|21213000000
ground turkey|Jennie-O Lean Ground Turkey, Case ( 20 lbs.)|$86.53|$4.33/lb|13730411236
bacon|Member's Mark Five Cheese Bacon Macaroni 40 oz.|$9.98|$0.25/oz|13612862176
pork chops|Member's Mark Whole Bone In Pork Loin, Vacuum Pack, priced per pound|$97.92|$2.04/lb|17848053637
large eggs|Member's Mark Cage Free Grade A Large White Eggs, 2 dozen|$4.62|$2.31/dz|13607813672
milk gallon|Member's Mark 2% Reduced Fat Milk 1 gal.|$3.72|$0.03/foz|16776455630
butter|Member's Mark Garlic Butter With Parmesan Cheese & Basil,10 oz.|$6.44|$0.64/oz|16343160365
cottage cheese|Darigold Cottage Cheese, 3 lbs.|$6.56|$2.19/lb|15337355019
sour cream|Daisy Brand Pure and Natural Sour Cream, 14 oz., 2 pk.|$4.97|$0.18/oz|13735720576
cream cheese|Member's Mark Cream Cheese Brick, 48 oz.|$6.63|$0.14/oz|13865569340
shredded cheese|Member's Mark Standard Shredded Mild Yellow Cheddar Cheese 5 lbs.|$12.77|$0.16/oz|13589400932
yogurt|Member's Mark Honey Vanilla Whole Milk Greek Yogurt, 48 oz.|$5.84|$0.12/oz|13890663976
bananas|Member's Mark Banana Nut Muffin, 6 ct.|$6.74|$1.12/ea|17193609045
strawberries|Member's Mark 10" Strawberry Cake, 84 oz.|$19.97|$0.24/oz|19968450409
blueberries|Member's Mark Blueberry Sliced Bagels, 6 ct.|$3.74|$0.62/ea|13609008294
avocado|Member's Mark Avocado Oil Veggie Straw Sea Salt, 23.5 oz.|$5.98|$0.25/oz|17953053687
russet potatoes|Russet Potatoes, 10 lbs.|$4.56|$0.46/lb|13589267044
yellow onion|Flavor Bombs Cherry Tomatoes On The Vine, 1.5 lbs.|$7.47|$4.98/lb|13599513403
apples|Member's Mark 12" Honeycrisp Apple Lattice Pie, 72 oz.|$10.98|$0.15/oz|13754106047
grapes|Welch's Concord Grape Jelly, 30 oz., 2 pk.|$4.48|$0.07/oz|13612962795
sweet corn|Member's Mark Super Sweet Corn On The Cob, 7 lbs.|$8.27|$1.18/lb|13591323037
watermelon|SOUR PATCH KIDS and SWEDISH FISH Candy, Fun Size, 200 pk.|$17.62|$0.09/ea|13900857865
peaches|Member's Mark Sliced Peaches in Extra Light Syrup, 104 oz.|$8.84|$0.08/oz|19269758979
white bread|Member's Mark Petite Hoagie Rolls, White Bread, 18 ct.|$6.98|$0.39/ea|22216900000
peanut butter|Member's Mark Natural Creamy Peanut Butter, 40 oz., 2 pk.|$7.78|$0.10/oz|7874219579
