id|name|price|size|url
whole-chicken|Tyson All Natural Fresh Premium Young Whole Chicken|1.46|lb|/ip/Tyson-All-Natural-Fresh-Premium-Young-Whole-Chicken-5-0-6-5-lb/19400244
breakfast-sausage|Farmland Original Pork Breakfast Sausage Roll|2.87|16 oz|/ip/Farmland-Original-Pork-Breakfast-Sausage-Roll-16-oz/10403368
hot-dogs|Ball Park Classic Bun Size Hot Dogs 8 Count|2.84|15 oz|/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-15-oz-8-Count/34632371
deli-ham|Land O Frost Premium Sandwich Sliced Deli Black Forest Ham|6.24|16 oz|/ip/Land-O-Frost-Premium-Meat-Sandwich-Sliced-Deli-Lunch-Meat-Black-Forest-Ham-1-lb/19276135
salmon|Marketside Fresh Coho Salmon Skin-On Fillet|8.97|lb|/ip/Marketside-Fresh-Coho-Salmon-3-95-1-05-lb/9179862572
canned-tuna|Great Value Chunk Light Tuna in Water|0.96|5 oz|/ip/Great-Value-Chunk-Light-Tuna-in-Water-5-oz/11965048
shrimp|Great Value Frozen Raw Large Peeled Deveined Tail-off Shrimp Value Bag|15.96|2 lb|/ip/Great-Value-Frozen-Raw-Large-Peeled-Deveined-Tail-off-Shrimp-2-lb-31-40-Count-per-lb-Value-Bag/791288879
sirloin-steak|Beef Choice Angus Thin Sliced Sirloin Tip Steak|8.82|lb|/ip/Beef-Choice-Angus-Thin-Sliced-Sirloin-Tip-Steak-0-85-1-6-lb-Tray/179426904
sliced-cheese|Great Value Singles American Cheese Product 24 Slices|2.48|16 oz|/ip/Great-Value-Singles-American-Pasteurized-Prepared-Cheese-Product-16-oz-24-Count/10452423
oranges|Fresh Navel Oranges 4-Pound Bag|4.97|4 lb|/ip/Fresh-Navel-Oranges-4-lb-Bag/44391012
lemons|Fresh Lemon|0.50|each|/ip/Fresh-Lemon-Each/41752773
limes|Fresh Lime|0.25|each|/ip/Fresh-Lime-Each/44391008
tomatoes|Fresh Roma Tomato|1.27|lb|/ip/Fresh-Roma-Tomato-Each/44390944
lettuce|Fresh Iceberg Lettuce|2.28|each|/ip/Fresh-Iceberg-Lettuce-Each/10402650
carrots|Fresh Whole Carrots 2-Pound Bag|2.26|2 lb|/ip/Fresh-Carrots-2-lb-Bag/10535757
broccoli|Fresh Whole Green Broccoli Crowns|2.47|lb|/ip/Fresh-Broccoli-Crowns-Each/51259378
bell-peppers|Fresh Green Bell Pepper|0.86|each|/ip/Fresh-Green-Bell-Pepper-Each/44390945
celery|Fresh Whole Celery Stalk|2.37|each|/ip/Fresh-Celery-Stalk-Each/51259411
cucumbers|Fresh Cucumber|0.76|each|/ip/Fresh-Cucumber-Each/44390954
garlic|Garlic Bulb Fresh Whole|0.72|each|/ip/Garlic-Bulb-Fresh-Whole-Each/44391100
spinach|Marketside Fresh Spinach Bag|2.00|10 oz|/ip/Marketside-Fresh-Spinach-10-oz-Bag-Fresh/13893738
mushrooms|Fresh Whole White Mushrooms|3.77|16 oz|/ip/Fresh-Whole-White-Mushrooms-16-oz/10451903
sweet-potatoes|Sweet Potatoes Whole Fresh 3-Pound Bag|4.44|3 lb|/ip/Sweet-Potatoes-Whole-Fresh-3-lb-Bag/132720824
