"id","name","category","reason"
"poblano-peppers","Poblano Peppers","Vegetables","orphan-product-urls-link"
"tomatillos","Tomatillos","Vegetables","orphan-product-urls-link"
"fresh-mint","Fresh Mint","Vegetables","orphan-product-urls-link"
"frozen-green-beans","Frozen Green Beans","Frozen","orphan-product-urls-link"
"beef-stew","Canned Beef Stew","Canned & Soup","batch1-registered"
"canned-pasta","Canned Pasta (Ravioli / SpaghettiOs)","Canned & Soup","batch1-registered"
"corned-beef-hash","Corned Beef Hash (canned)","Canned & Soup","batch1-registered"
"vegetable-soup","Vegetable / Vegetable Beef Soup (canned)","Canned & Soup","batch1-registered"
"clam-chowder","Clam Chowder (canned)","Canned & Soup","batch1-registered"
"chili-beans","Chili Beans (in sauce)","Canned & Soup","batch1-registered"
"canned-white-beans","Canned White Beans (Great Northern / Cannellini / Navy)","Canned & Soup","batch1-registered"
"canned-mixed-vegetables","Canned Mixed Vegetables","Canned & Soup","batch1-registered"
"canned-beets","Canned Beets","Canned & Soup","batch1-registered"
"sauerkraut","Sauerkraut (canned/jarred)","Canned & Soup","batch1-registered"
"canned-yams","Canned Yams / Sweet Potatoes","Canned & Soup","batch1-registered"
"cranberry-sauce","Cranberry Sauce (canned)","Canned & Soup","batch1-registered"
"canned-pumpkin","Canned Pumpkin (100% puree)","Canned & Soup","batch1-registered"
"mandarin-oranges","Canned Mandarin Oranges","Canned & Soup","batch1-registered"
"fruit-cocktail","Canned Fruit Cocktail","Canned & Soup","batch1-registered"
"canned-pears","Canned Pears","Canned & Soup","batch1-registered"
"tomatoes-green-chilies","Diced Tomatoes with Green Chilies (Ro-Tel style)","Canned & Soup","batch1-registered"
"canned-green-chilies","Canned Diced Green Chilies","Canned & Soup","batch1-registered"
"black-olives","Black Olives (canned, ripe)","Canned & Soup","batch1-registered"
"artichoke-hearts","Artichoke Hearts (canned/jarred)","Canned & Soup","batch1-registered"
"vegetable-broth","Vegetable Broth / Stock","Canned & Soup","batch1-registered"
"bouillon","Bouillon (cubes / granules / base)","Canned & Soup","batch1-registered"
"coconut-milk-canned","Canned Coconut Milk","Canned & Soup","batch1-registered"
"canned-potatoes","Canned Potatoes","Canned & Soup","batch1-registered"
"hominy","Canned Hominy","Canned & Soup","batch1-registered"
"onion-soup-mix","Onion Soup Mix (dry packets)","Canned & Soup","batch1-registered"
"jarred-gravy","Jarred / Canned Gravy","Canned & Soup","batch1-registered"
"dijon-mustard","Dijon Mustard","Sauces & Condiments","batch1-registered"
"honey-mustard","Honey Mustard","Sauces & Condiments","batch1-registered"
"miracle-whip","Salad Dressing Spread (Miracle Whip style)","Sauces & Condiments","batch1-registered"
"caesar-dressing","Caesar Dressing","Sauces & Condiments","batch1-registered"
"blue-cheese-dressing","Blue Cheese Dressing","Sauces & Condiments","batch1-registered"
"balsamic-vinegar","Balsamic Vinegar","Sauces & Condiments","batch1-registered"
"rice-vinegar","Rice Vinegar","Sauces & Condiments","batch1-registered"
"red-wine-vinegar","Red Wine Vinegar","Sauces & Condiments","batch1-registered"
"teriyaki-sauce","Teriyaki Sauce / Marinade","Sauces & Condiments","batch1-registered"
"steak-sauce","Steak Sauce (A.1. style)","Sauces & Condiments","batch1-registered"
"cocktail-sauce","Cocktail Sauce","Sauces & Condiments","batch1-registered"
"tartar-sauce","Tartar Sauce","Sauces & Condiments","batch1-registered"
"horseradish","Prepared Horseradish","Sauces & Condiments","batch1-registered"
"enchilada-sauce","Enchilada Sauce","Sauces & Condiments","batch1-registered"
"taco-sauce","Taco Sauce","Sauces & Condiments","batch1-registered"
"sloppy-joe-sauce","Sloppy Joe Sauce (Manwich style)","Sauces & Condiments","batch1-registered"
"bottled-marinade","Bottled Meat Marinade","Sauces & Condiments","batch1-registered"
"pesto","Pesto (jarred)","Sauces & Condiments","batch1-registered"
"minced-garlic","Minced Garlic (jarred)","Sauces & Condiments","batch1-registered"
"pickled-jalapenos","Pickled Jalapenos (sliced, jar/can)","Sauces & Condiments","batch1-registered"
"green-olives","Green Olives (stuffed manzanilla)","Sauces & Condiments","batch1-registered"
"banana-peppers","Banana Pepper Rings / Pepperoncini","Sauces & Condiments","batch1-registered"
"lime-juice","Lime Juice (bottled)","Sauces & Condiments","batch1-registered"
"ground-ginger","Ground Ginger","Baking & Spices","orphan-product-urls-link"
"ground-nutmeg","Ground Nutmeg","Baking & Spices","orphan-product-urls-link"
"bay-leaves","Bay Leaves","Baking & Spices","orphan-product-urls-link"
"dried-basil","Dried Basil","Baking & Spices","orphan-product-urls-link"
"dried-thyme","Dried Thyme","Baking & Spices","orphan-product-urls-link"
"dried-rosemary","Dried Rosemary","Baking & Spices","orphan-product-urls-link"
"dried-dill","Dill Weed (dried)","Baking & Spices","orphan-product-urls-link"
"cayenne-pepper","Cayenne Pepper (ground)","Baking & Spices","orphan-product-urls-link"
"curry-powder","Curry Powder","Baking & Spices","orphan-product-urls-link"
"taco-seasoning","Taco Seasoning (packet)","Baking & Spices","orphan-product-urls-link"
"ranch-seasoning-mix","Ranch Seasoning / Dip Mix (packets)","Baking & Spices","orphan-product-urls-link"
"sesame-oil","Sesame Oil (toasted)","Coffee, Oils & Spreads","orphan-product-urls-link"
"cashews","Cashews","Snacks & Drinks","orphan-product-urls-link"
"pineapple-juice","Pineapple Juice","Snacks & Drinks","orphan-product-urls-link"
"apple-cider","Apple Cider","Snacks & Drinks","orphan-product-urls-link"
"corn-tortillas","Corn Tortillas","Bread & Bakery","orphan-product-urls-link"
