id|wid|name|price|upx|upu|score
apples|44390958|Fresh Gala Apples, 3 lb Bag|3.24|1.08|lb|4/4
bacon|44391087|Great Value Naturally Hickory Smoked Thick Cut Sliced Bacon, 16 oz|4.18|4.18|lb|9/9
balsamic-vinegar|10320860|Pompeian Balsamic Vinegar - 16 fl oz|3.84|||3/3
blue-cheese-dressing|55500592|Wish-Bone Chunky Blue Cheese Salad Dressing, 15 fl oz|2.44|||7/7
bread|10315355|Great Value White Round Top Bread Loaf, 20 oz|1.48|||7/7
hominy|26599478|Juanita’s Foods White Hominy, 110 oz, Can|4.68|||4/5
canned-pears|10451005|Great Value Canned Pear Halves in Heavy Syrup, 29 oz Can|2.78|||7/7
canned-potatoes|10318792|Del Monte Whole Canned Potatoes, Canned Vegetables, 14.5 oz Can|1.67|||5/5
carrots|51259191|Marketside Organic Fresh Whole Carrots, 2 lb Bag|2.38|||4/5
chili-powder|157643393|Great Value Chili Powder, 3 oz|1.08|||4/4
chocolate-milk|136456465|TruMoo Whole Chocolate Milk Half Gallon|3.26|||6/6
coffee|971362035|Folgers Classic Roast Medium Roast Ground Coffee, Limited Edition Canister for Americas 250th Anniversary, 40.3 oz|17.76|||5/5
cream-cheese|41592222|Great Value Cream Cheese Brick, 8 oz Block, 2 Pack|2.97|||5/5
garlic-powder|676979470|Great Value Garlic Powder, 3.4 oz|1.08|||4/4
green-olives|10315439|Great Value Stuffed Manzanilla Olives with Minced Pimento, 10 oz|3.12|||8/8
ground-cinnamon|533272737|Great Value Kosher Ground Cinnamon, 2.5 oz|1.27|||4/4
ground-cumin|985501095|Great Value Ground Cumin, 2.5 oz|1.37|||4/4
ground-turmeric|340917831|Badia Ground Turmeric, 16 oz|12.33|||3/3
italian-seasoning|637648335|Great Value Italian Seasoning, 0.95 oz|1.08|1.14|oz|4/4
lemon-juice|10294762|ReaLemon 100% Lemon Juice, 32 fl oz bottle|3.57|||4/4
onion-powder|705601418|Great Value Onion Powder, 3.25 oz|1.08|||4/4
dried-oregano|631368530|Great Value Oregano Leaves, 0.87 oz|1.08|1.24|oz|4/4
dried-parsley|861014617|Great Value Parsley Flakes, 0.4 oz|1.08|2.7|oz|4/4
red-pepper-flakes|217612954|Great Value Crushed Red Pepper, 1.75 oz|1.44|||5/5
rice-vinegar|220935703|Mizkan Rice Vinegar for Cooking, 12 fl oz|2.92|||5/5
teriyaki-sauce|10307461|Kikkoman Teriyaki BBQ Original 20.5 oz Glass Bottle|5.43|||6/6
canned-pasta|1199013960|(4 pack) Chef Boyardee Overstuffed Beef Ravioli in Pasta Sauce, Ready-to-Eat Meal, 15 oz. Can|4.96|||7/7
# 2026-07-17 browser resolution batch (id|wid|name|price|upx|upu|score). 18 applied+live;
# 9 rows were SALE-typed cells that week and were skipped - retry them on an everyday week.
