ticket,verdict
2939C7DC24,wrong-price
C1E857FDBE,wrong-price
EDF8BA23ED,ok
02E057B7BB,wrong-price
1ACD58DFCD,wrong-size
171AFD7659,wrong-size
6C3E29EBE5,wrong-size
3CBD682A0E,wrong-price
39727F77A3,wrong-price
1436D3FA11,ok
D9AE20B461,ok
0F44D91FC3,ok
57ED48BF5D,ok
1EFEF1909D,wrong-product
15EFB5EF5C,ok
0D3315AAB0,ok
591361F4AF,wrong-price
23B93184C9,ok
A37CC65388,wrong-price
C7F8443776,wrong-product
833EF9A3A4,wrong-product
86ACAC8BF5,wrong-price
7ECA2BB2D4,wrong-size
376624730E,wrong-price
1056FB538F,ok
CD84D60C6E,wrong-product
79E4D6DAC2,wrong-product
B08B4E7CA2,ok
1A4E8F4398,wrong-product
