"ticket","found_product","found_price","found_pack","availability","reachable","note"
"F53AF4332E","Sunset Brands Tomatoes On the Vine, 24 oz","1.9267","$2.89 / 1.5 lb (24 oz)","sold","yes","Mode confirmed In-Store (header reads ""In-Store - open 9am - 8pm"" + ""ALDI - OLA 42 - Omaha""; no Pickup/Delivery elements present, so this is the active mode not an open menu). Cheapest fresh tomato per lb. Fixed-weight package, NOT a by-weight estimate (product page carries no ""each (est.)"" and no ""$X / lb"" line). Runners-up: Beefsteak Tomatoes 1 lb $2.99 = $2.99/lb; Snacking Tomatoes on the Vine 1 lb $3.49; Gourmet Medley 12 oz $2.99 = $3.99/lb. No loose Roma or per-lb bulk tomato exists in this store's catalog (searched tomatoes / roma tomatoes / vine tomatoes). URL: https://www.aldi.us/store/aldi/products/16324902-sunset-tomatoes-on-the-vine-each"
"3602756963","Casa Mamita Beef and Bean Burritos, 8 count, 32 oz","0.4738","$3.79 / 8 count","sold","yes","In-Store mode. Count comes from the product NAME (""8 count""), which is the reliable surface; product-page ""size"" field reads 32 oz (= 4 oz per burrito, consistent). Exact tie with Casa Mamita Bean and Cheese Burritos 8 ct at $3.79. Burrito BOWLS ($2.99-$4.79) excluded as a different item. No single-serve frozen burrito sold. URL: https://www.aldi.us/store/aldi/products/26056127 (search slug: casa-mamita-beef-and-bean-burritos)"
"ED5E4E7589","Bake Shop Chocolate Iced Donuts, 15 oz","","$4.49 / 15 oz - no count published","sold","yes","In-Store mode. Donuts ARE sold but NO Aldi surface publishes a donut COUNT, so an ""each"" price cannot be derived without guessing. Checked the search tile, the rendered product page (""Bake Shop Chocolate Iced Donuts ~ 15 oz ~ $0.30/oz ~ Current price: $4.49"") and the raw product HTML: zero count/ct/pack tokens. Same class as the hamburger-bun no-count case. Full donut set seen: Chocolate Iced Donuts 15 oz $4.49; Chocolate Frosted Mini Donut 14 oz $3.39; Powdered Sugar Mini Donuts 14 oz $3.39; Iced Mini Donuts 8 oz $3.95; Assorted Donut Holes 14 oz $2.69 (holes, not donuts). URL: https://www.aldi.us/store/aldi/products/128145969-bake-shop-chocolate-iced-donuts-15-oz"
"E44A10C198","Friendly Farms Original Oatmilk, 64 fl oz","0.0545","$3.49 / 64 fl oz","sold","yes","In-Store mode. Only oat milk product in the catalog - searched both ""oat milk"" and ""oatmilk"", one hit each, same SKU. No flavored/unsweetened variant and no half-gallon alternative to compare against. URL: https://www.aldi.us/store/aldi/products/ (slug: friendly-farms-original-oatmilk-64-fl-oz)"
"5F277699A8","","","","not-sold","yes","In-Store mode. No prune / dried plum product exists in this store's catalog. Searched ""prunes"", ""dried plums"", ""pitted prunes"" and scanned the full 104-item ""dried fruit"" result set: the Southern Grove dried line carries apricots, raisins, pineapple, tropical medley, tangerine and pepitas but no prunes. Only plum hit is fresh ""Dayka & Hackett Plums, 2 lb"" $3.79, which is fresh fruit, not the commodity."
"02D6722D53","Burman's Real Mayonnaise, 30 fl oz","0.0963","$2.89 / 30 fl oz","sold","yes","In-Store mode. Burman's Light Mayonnaise is the same $2.89/30 fl oz. Burman's Whipped Dressing $2.89 excluded (Miracle-Whip class, not mayonnaise). Branded alternatives far higher: Duke's $4.98, Hellmann's $6.47. BASIS NOTE: Aldi labels this 30 FL OZ (volume); the ticket unit is oz, so this number is dollars per fl oz. If the board means avoirdupois oz the divisor should be the net weight, which Aldi does not publish."
"E7820D20EB","Burman's Yellow Mustard, 20 oz","0.0495","$0.99 / 20 oz","sold","yes","In-Store mode. Clear cheapest; the other Burman's mustards are Dijon / stone ground / spicy brown, all 12 oz at $1.49 = $0.1242/oz and none of them yellow mustard. No national-brand yellow mustard stocked. URL: https://www.aldi.us/store/aldi/products/ (slug: burman-s-yellow-mustard-20-oz)"
"03AAF32F05","Nature's Nectar 100% Grape Juice, 64 fl oz","0.0461","$2.95 / 64 fl oz","sold","yes","In-Store mode. Nature's Nectar 100% WHITE Grape Juice is the same $2.95/64 fl oz - exact tie, either qualifies. Excluded: Cranberry Grape Juice Cocktail $2.95 (blend, not grape juice) and Kool-Aid Grape Flavored Juice 10 x 6 fl oz $2.97 = $0.0495/fl oz (flavored drink, and more expensive anyway). No frozen grape concentrate in the catalog."
"00A055C3DE","Nature's Nectar Zero Sugar Cranberry Juice, 64 fl oz","0.0405","$2.59 / 64 fl oz","sold","yes","In-Store mode. CLOSE CALL, flagged: the cheapest thing named plain cranberry juice is the Zero Sugar (diet, non-nutritively sweetened) at $2.59. The 100% juice is Nature's Nectar 100% Cranberry Juice 64 fl oz $3.25 = $0.0508/fl oz. This store stocks NO plain sugar-sweetened ""cranberry juice cocktail"" - the only cocktails are blends (cranberry apple / raspberry / pomegranate / grape, all $2.95). If the board's commodity means 100%-juice, the comparable figure is 0.0508."
"043510F0CD","","","","not-sold","yes","In-Store mode. No fresh clementine or mandarin sold right now (early August = out of season). Searched ""clementines"", ""mandarin oranges"", ""tangerines"", ""halos mandarins"" and scanned the full 91-item ""citrus"" result set. Fresh citrus stocked is only navel oranges 3 lb $3.39, Cara Cara 3 lb $3.69, lemons and limes. All mandarin hits are CANNED or cups (Sweet Harvest Mandarin Oranges in Light Syrup 15 oz $1.49; Lunch Buddies 4-packs), which are not the fresh commodity, and Southern Grove Tangerine 6 oz $3.49 is dried fruit."
