ticket,found_product,found_price,found_pack,availability,reachable,note
"C198C5145F","","","","not-sold","yes","No Chinese five spice powder with pickup/in-store at Omaha L St Supercenter 5361 (searched 'chinese five spice' and 'five spice powder' with in-store filter). Only ship-only listings (McCormick Gourmet 1.75 oz $8.51 ship; Marketplace sellers). In-store hits were bettergoods Five Spice Lettuce Wrap seasoning mix and a stir-fry sauce - not the commodity"
"72C1BF6331","Sushi Chef Sesame Seeds, 3.75 oz","0.7893","3.75 oz","sold","yes","$2.96 shelf; page unit 77.9c/oz; pickup IN_STOCK Omaha L St Supercenter 5361. Great Value Sesame Seeds 2.2 oz $2.18 (0.991/oz) dearer"
"1108F70446","Great Value Multi-Purpose Cleaner & Floor Cleaner 2x Concentrated, Watermelon, 56 fl oz","0.06","56 fl oz","sold","yes","$3.36 shelf; page unit 6.0c/fl oz; pickup IN_STOCK Omaha L St Supercenter 5361; 2x concentrate. Next cheapest Fabuloso 2X at 7.0c/fl oz"
"F857AAFA28","Great Value Classic Ranch Salad Dressing & Recipe Mix, 1 oz Packets, 4 Count","0.5425","4 x 1 oz","sold","yes","$2.17 shelf for 4 x 1 oz packets; pickup IN_STOCK 5361. Single 1 oz packet $0.68 (0.68/oz). Non-packet GV 8 oz canister $3.98 = 0.4975/oz is cheaper but is not a packet"
"A8BDC9111D","Fresh Cantaloupe, Each","2.50","1 each","sold","yes","$2.50 each; pickup IN_STOCK Omaha L St Supercenter 5361"
"5D21069C9F","Equate 100% Pure Cotton Swabs, 300 Count","0.003267","300 count","sold","yes","$0.98 shelf / 300 swabs; page unit 0.3c/ea; pickup IN_STOCK 5361. 500ct $2.18 and 750ct $3.18 dearer per swab"
"D3786BF0EB","Inglehoffer Creamy Style Prepared Horseradish, 9.5 oz","0.3032","9.5 oz","sold","yes","$2.88 shelf; page unit 30.3c/oz; pickup IN_STOCK 5361. Cheaper horseradish SAUCES and horseradish mustards (GV sauce 12 oz $1.92) excluded as not prepared horseradish"
"932B38E057","Great Value Paprika, 2.5 oz","0.432","2.5 oz","sold","yes","$1.08 shelf; page unit 43.2c/oz; pickup IN_STOCK Omaha L St Supercenter 5361"
"1191DF0109","","","","not-sold","yes","No fresh apricots with pickup/in-store at 5361 (searched 'apricots' and 'fresh apricots', in-store filter); likely out of season. Only apricot preserves and Del Monte Lite Apricot Halves 15 oz can $3.17 found - not fresh per-lb apricots"
"4FDF8E9FD6","Parent's Choice Stage 1 Baby Food Banana Puree, 4 oz Cups, 2 Pack","0.1838","2 x 4 oz","sold","yes","$1.47 shelf for 2 x 4 oz = 8 oz; page unit 18.4c/oz; pickup IN_STOCK 5361. Same price for other Parent's Choice Stage 1 flavours. Cheapest Gerber was 23.4c/oz"
"4861B1E5C6","Great Value Original Dishwasher Pacs, Fresh Scent, 115 Count","0.1212","115 count","sold","yes","$13.94 shelf / 115 pacs; pickup IN_STOCK 5361. GV 78 ct $9.98 = 0.1279 next"
"19280F64D4","Great Value Country Style Baked Beans, 15 oz Can","0.0747","15 oz","sold","yes","$1.12 shelf; page unit 7.5c/oz; pickup IN_STOCK 5361. GV Sweet and Spicy 15 oz same price"
"D7AE8E0DAC","Great Value Fruit Cocktail in Heavy Syrup, 30 oz","0.0927","30 oz","sold","yes","$2.78 shelf; page unit 9.3c/oz; pickup IN_STOCK 5361. GV 15.25 oz $1.78 (11.6c/oz)"
"3E7946C252","Fresh Blueberries, 18 oz. Container","0.4344","18 oz","sold","yes","$7.82 shelf; page unit 43.4c/oz; pickup IN_STOCK 5361. Fresh 1 pint (11 oz) $4.87 = 44.3c/oz. If frozen counts: Great Value Blueberries 48 oz frozen $7.82 = 16.3c/oz"
"B2FF0F2129","Equate 2-Blade Disposable Razors, Blue, 12 Count","0.1767","12 count","sold","yes","$2.12 shelf / 12 razors; page unit 17.7c/count; pickup IN_STOCK 5361"
"35057B57A5","Great Value Strawberry Gelatin Dessert, 3 oz","0.98","1 box (3 oz)","sold","yes","$0.98 per 3 oz box; pickup IN_STOCK 5361; all GV 3 oz flavours $0.98. Jell-O brand 3 oz box $1.48. GV unflavored gelatin 4 ct $2.23 not counted (not Jell-O style dessert)"
"0AA625CA88","bettergoods Shawarma Seasoning, 3.5 oz","1.1314","3.5 oz","sold","yes","$3.96 shelf; page unit $1.13/oz; pickup IN_STOCK 5361; only shawarma blend in store"
"BD5AD9D8DA","Great Value Brussels Sprouts, 12 oz Bag (Frozen)","0.1267","12 oz","sold","yes","$1.52 shelf; page unit 12.7c/oz; pickup IN_STOCK 5361"
"51C66F7F55","Great Value Nutritional Yeast Flakes, 5 oz","1.034","5 oz","sold","yes","$5.17 shelf; page unit $1.03/oz; pickup IN_STOCK 5361; only nutritional yeast in store"
"F854DB6577","White House All Natural Filtered Apple Cider Vinegar, 64 fl oz","0.0581","64 fl oz","sold","yes","$3.72 shelf; page unit 5.8c/fl oz; pickup IN_STOCK 5361. GV 32 fl oz $2.42 = 7.6c. Spring Valley ACV capsules excluded (supplement)"
"635250FF9D","Great Value Quartered Artichoke Hearts, 13.75 oz","0.1651","13.75 oz","sold","yes","$2.27 shelf; page unit 16.5c/oz (net wt incl. liquid); pickup IN_STOCK 5361"
"ACB1262100","Red Seedless Grapes, From California, Bag (2.25 lbs/Bag Est.)","1.66","~2.25 lb bag (sold by weight)","sold","yes","$1.66/lb shelf, est. $3.74 per 2.25 lb bag; pickup IN_STOCK 5361. Green seedless $1.77/lb"
"4C81B169EA","Great Value Southern Hash Browns, 32 oz Bag (Frozen)","0.1069","32 oz","sold","yes","$3.42 shelf; page unit 10.7c/oz; pickup IN_STOCK 5361. GV Shredded 4 lb $6.87 = 0.1073/oz nearly identical"
"65746DB93C","Marathon Embossed 1-Ply White Beverage Napkins, 6 pk., 3000 ct.","0.0059","3000 ct","sold","yes","$17.78 / 3000; club Omaha 13130 L St, pickup IN_STOCK; beverage (cocktail) size napkin. Cheapest dinner/everyday size: Member's Mark Everyday 1-Ply 4x300=1200 ct $12.84 = 0.0107/ea, pickup IN_STOCK"
"7B1CD356A8","Stouffer's Signature Lasagna with Meat Sauce, Frozen 96 oz.","0.1560","96 oz","sold","yes","$14.98 / 96 oz; club 13130 L St, pickup IN_STOCK; Giovanni Rana chicken alfredo lasagna 40 oz $13.82 dearer"
"606885B103","Member's Mark Disinfecting Wipes, Variety Pack, 4 pk., 312 ct.","0.0352","312 ct","sold","yes","$10.98 / 312; club 13130 L St, pickup IN_STOCK; Clorox 5 pk 425 ct $18.78 = 0.0442"
"7EB82C634C","","","","not-sold","yes","Not available for pickup at Omaha club 13130 L St: Member's Mark Foodservice Honey Mustard 128 oz $14.98 and Ken's Steak House Honey Mustard 32 oz $4.98 both shipping-only (pickup NOT_AVAILABLE); no in-club honey mustard found"
