"ticket","why","commodity","store","board_item","board_per_unit","found_product","found_price","found_pack","ratio","note","verdict"
"C34080E010","review-price","Broccoli (fresh)","Aldi","Broccoli Crowns Per LB","2.0900","Broccoli Florets (fresh; Mann's per URL)","3.0533","12 oz","1.461","$2.29 shelf, 12 oz bag on product page (page unit $0.19/oz); ALDI OLA 42 Omaha, In-Store; only other fresh broccoli is Organic Broccoli $3.29 per 1 ct with no weight on page so per-lb not computable; no conventional crowns listed",""
"5524A1F02D","review-price","Coconut Aminos","Baker's","Bragg Organic Coconut Liquid Aminos Soy-Free Seasoning","0.7990","Simple Truth Organic Coconut Aminos","0.5990","10 fl oz","0.750","$5.99 shelf (no sale) for 10 fl oz = $0.599/floz; product page UPC 0001111084995, aisle 9; Baker's Pickup at Saddlecreek, Omaha; next: Bragg Organic Coconut Aminos $7.99/10 fl oz; Bragg Liquid Aminos ($0.34/floz) is soy-based, not coconut aminos, excluded",""
"0DDDBB81DC","review-price","Dried Ancho Chiles","Family Fare","Zamora Ancho Chile Peppers","0.5619","Fresh Ancho Chile (8 oz bag)","0.6240","8 oz","1.111","shelf $4.99 / 8 oz (product page, UPC 00877699001058, Peppers category, no image). CAUTION: listed name says 'Fresh Ancho Chile' but it is a packaged UPC item sold by the oz in 3 oz/8 oz sizes, the same sizes as the store's Guajillo Chili bags (3 oz $2.49, 8 oz $4.99, 1 lb $7.99), and it is returned by a 'dried chile' search - almost certainly the dried ancho bag, but the page never says 'dried'. Other size: 3 oz $2.79 (UPC 00181119000867) = 0.93/oz. Store Family Fare - 50th & Grover St, Omaha NE, pickup",""
"F4026DCED9","review-price","Mangoes","Family Fare","Red Mango, Small","2.2900","Red Mango, Small","2.7900","1 ct","1.218","shelf $2.79 / 1 ct (product page, Tropical Fruits); only whole fresh mango in the 'mango' search (rest frozen/canned/dried/drinks); SMALL size. Store Family Fare - 50th & Grover St, Omaha NE, pickup",""
"32EFE19EE3","review-price","Leeks","Family Fare","Regular Leeks","3.9900","Regular Leeks","4.9900","1 ea","1.251","shelf $4.99 / 1 ea (product page, UPC 00000000046299); only leek result; page does not say whether 'ea' is one leek or a bunch (PLU 4629) - per-leek basis uncertain; store Family Fare - 50th & Grover St, Omaha NE, pickup",""
"AFD617B577","review-price","Sweet Relish","Family Fare","Our Family Sweet Relish 10 Fl Oz","0.1990","Pampa Pickles, Sweet Relish 12 Oz","0.1040","12 oz","0.523","shelf '4 for $5.00' / 12 oz (product page, UPC 00876941000061, Aisle 10, listed under Trial Sizes Store) = $1.25 each; per-oz assumes the multi-buy price applies per unit (not stated whether a single jar rings at $1.25). Next cheapest: Our Family Sweet Relish $1.99 / 10 fl oz = 0.199/oz; Vlasic Sweet Relish sale $2.69 / 10 oz. Store Family Fare - 50th & Grover St, Omaha NE, pickup",""
"21244C5ABC","review-price","Cantaloupe","Family Fare","Organic Melon, Cantaloupe, Small","3.9900","Cantaloupe/Rockmelon Melon, Small","4.9900","1 ct","1.251","shelf $4.99 / 1 ct (product page, UPC 00000000040501); only whole cantaloupe listed, and it is the SMALL size; other result was Fresh & Finest Cantaloupe Cubes $5.00 / 18 oz (cut, not whole). Store Family Fare - 50th & Grover St, Omaha NE, pickup",""
"09F02D24D9","review-price","Chicken Thighs / Drumsticks","Fareway","Chicken Drumsticks","1.3900","Chicken Drumsticks (fresh; sold by weight)","1.9900","per lb (about 0.38 lb each; est. $0.75 each)","1.432","$1.99/lb, final cost by weight; Pickup - Omaha. JUDGEMENT FLAG: Chicken Hindquarters (thigh+drumstick attached) $0.99/lb sale (reg $1.58 est. each, ~1.06 lb each) is cheaper if a leg quarter counts; Boneless Chicken Thighs $3.99/lb; Tyson frozen drumsticks 2.5 lb $5.99 = 2.40/lb; no bone-in thigh item listed",""
"292F637043","review-price","Canned Green Beans","Fareway","Fareway Green Beans, Corn or Peas","0.0446","Fareway Cut Green Beans","0.0469","14.5 oz can","1.052","$0.68 sale (reg $1.12, sale ends in ~20 hrs), page shows $0.05/oz; Pickup - Omaha; reg price would be 0.0772/oz",""
"265B906871","review-price","Graham Crackers","Fareway","Fareway Honey Graham Crackers","0.2764","Fareway Honey Graham Crackers","0.2417","14.4 oz (3 inner packs)","0.874","$3.48 sale (reg $3.98); page lists 3 ct, box image reads NET WT 14.4 OZ (408g); Pickup - Omaha 17070 Audrey St; next cheapest Honey Maid Family Size 19.2 oz $6.48 = 0.3375/oz",""
