"ticket","verdict","found_product","found_price","note"
"022010B4A6","ok","","","independent first-party check agreed"
"05D8506BD4","ok","","","independent first-party check agreed"
"2444720CDF","ok","","","independent first-party check agreed"
"439F100FB2","ok","","","independent first-party check agreed"
"49E13B3786","ok","","","independent first-party check agreed"
"627B045057","ok","","","independent first-party check agreed"
"7FEF0E6524","ok","","","independent first-party check agreed"
"86009FFE94","ok","","","independent first-party check agreed"
"BD89255C58","ok","","","independent first-party check agreed"
"EEA573A1FE","ok","","","independent first-party check agreed"
"F52B96211A","ok","","","independent first-party check agreed"
"2D809CD4BC","ok","","","independent first-party check agreed"
"5DAAD80676","ok","","","independent first-party check agreed"
"5E77EC395A","ok","","","independent first-party check agreed"
"84EBE2ABBB","ok","","","independent first-party check agreed"
"9094A07C29","ok","","","independent first-party check agreed"
"BDE0367B54","ok","","","independent first-party check agreed"
"D277BACCF8","ok","","","independent first-party check agreed"
"EA5997E497","ok","","","independent first-party check agreed"
"F229C46E7B","ok","","","independent first-party check agreed"
"FD99169D0D","ok","","","independent first-party check agreed"
"3B91E2EB2D","ok","","","independent first-party check agreed"
"61A2810867","ok","","","independent first-party check agreed"
"AE001C9B4F","ok","","","independent first-party check agreed"
"295508E344","ok","","","independent first-party check agreed"
"AFCEA3A6FF","ok","","","independent first-party check agreed"
"1858D7B62B","ok","","","independent first-party check agreed"
"DD671FE9A1","ok","","","independent first-party check agreed"
"70E768116A","wrong-product","Our Family Fabric Softener Ultra Spring 51 Fl Oz","$4.99","NOT CHEAPEST 1.81x: board Downy $0.1773/floz vs Our Family $0.0978/floz. Not in our FF feed - COVERAGE gap; it matches the include cleanly."
"50ABB39968","wrong-product","Hy-Vee Hearty Vegetable Soup","$2.48","NOT CHEAPEST 2.4x: board $0.314/oz vs $0.1319/oz. ROOT CAUSE bsoupb in GLOBAL_EXCLUDE with no relax_global; only the plural Soups survived. FIXED same day."
"16BE4A3290","wrong-product","Skittles Freezer Pops Original 20 Pack","$2.69","NOT CHEAPEST 3.0x: board $0.405/each vs $0.1345/each. Not in our FF feed - COVERAGE gap; it matches /freezer pops/ cleanly."
"77568C396F","wrong-product","Oscar Mayer Oven Roasted White Sliced Turkey 16 oz","$4.79","NOT CHEAPEST 1.44x: board $0.4311/oz vs $0.2994/oz. The 16oz pack is NOT in our Hy-Vee feed - PULL COVERAGE gap, not a matching bug."
