# BLIND verification worklist for the 2026-08-06 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-08-06.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"E23CCF4321",1,"Potato Chips","oz","Walmart",,,,
"BB856A5A34",2,"Liquid Egg Whites","floz","Aldi",,,,
"B13D2D406D",3,"Donuts","each","Aldi",,,,
"671170A22B",4,"Yellow Mustard","oz","Fareway",,,,
"A90BE5C274",5,"Crushed Tomatoes (canned)","oz","Aldi",,,,
"7D2B9E9EF3",6,"Turnip Greens (bunch)","each","Baker's",,,,
"466647F59C",7,"Cream of Chicken Soup","oz","Hy-Vee",,,,
"D93DB07185",8,"Cajun / Creole Seasoning","oz","Walmart",,,,
"5DE8651859",9,"Chickpeas / Garbanzo Beans (canned)","oz","Walmart",,,,
"F144F99FDF",10,"Broccoli (fresh)","lb","Hy-Vee",,,,
"FB6F112C80",11,"Jicama","lb","Hy-Vee",,,,
"3B0AF5D239",12,"Chicken Broth / Stock","floz","Aldi",,,,
"135D07E163",13,"Half & Half","floz","Fareway",,,,
"8FC424E33A",14,"Frozen French Fries","oz","Sam's Club",,,,
"E27196E3DF",15,"Canned Pears","oz","Baker's",,,,
"BFD469C698",16,"Yellow / Yukon Gold Potatoes","lb","Walmart",,,,
"908BEA6E23",17,"Hair Conditioner","floz","Fareway",,,,
"4CEF889E25",18,"Orange Juice","floz","Aldi",,,,
"55C5C989EF",19,"Red Potatoes","lb","Aldi",,,,
"5A145D8DC6",20,"Cocoa Powder (baking)","oz","Sam's Club",,,,
"2B4E1DF338",21,"Cheese Tortellini","oz","Hy-Vee",,,,
"4285C81827",22,"Parsley (dried)","oz","Walmart",,,,
"A1A98862D2",23,"Queso / Cheese Dip","oz","Walmart",,,,
