ticket,seq,verdict,found_product,found_price,note
1436D3FA11,4,ok,"Russet Potatoes, 10 lb bag",0.409,"10 lb $4.09 in-store (PDP unit line $0.03/oz); OLA 48 Omaha In-Store mode; card+PDP say OUT OF STOCK today but catalog price is live. Next cheapest russet: Farmer's Promise Baking Potatoes (Cal-Ore) 5 lb $3.19 = 0.638/lb, also OOS"
E744348E6B,14,ok,"Cucumber, each (1 each)",0.75,"1 each $0.75 in-store; Seedless/English cucumber ea $0.95 is dearer"
1EFEF1909D,19,ok,"Stonemill Sea Salt Grinder, 3.53 oz",0.4504,"3.53 oz $1.59 in-store; only true SEA salt SKU at this store. Stonemill Iodized Salt 26 oz $0.79 is table salt, not sea salt, so excluded"
8C49B5B303,26,ok,"Burman's Whipped Dressing, 30 fl oz",0.0963,"30 fl oz $2.89 in-store (PDP unit line $0.10/fl oz); Kraft Miracle Whip 30 fl oz $5.48 = 0.1827/oz is the name brand"
0A21DE5389,27,ok,"Gala Apples, 3 lb bag",0.9967,"3 lb $2.99 in-store (PDP unit line $0.06/oz); Red Delicious 3 lb $3.49, Granny Smith 3 lb $3.99, loose Envy $1.89/lb"
0F44D91FC3,28,ok,"Dayka & Hackett Plums, 2 lb bag",1.895,"2 lb $3.79 in-store; only plum SKU carried"
33A9FF7FF2,37,ok,"Maruchan Ramen Noodle Soup Chicken Flavor, 12 x 3 oz",0.3208,"12 pack $3.85 in-store = 0.3208 per packet; Maruchan Beef 12 x 3 oz $3.95; single Nissin 3.32 oz $1.45; no store-brand single packet carried"
57ED48BF5D,50,ok,"Heart To Tail Special Medley Dry Cat Food, 3.15 lb",1.1714,"3.15 lb $3.69 in-store; Indoor Formula 3.15 lb $3.69 ties; no larger bag carried at OLA 48"
10A9818586,59,ok,"Season's Choice Hash Brown Patties, 20 ct / 43.33 oz",0.1152,"43.33 oz $4.99 in-store (PDP unit line $0.12/oz); shredded hash browns 30 oz $3.69 = 0.123/oz is the next cheapest form"
15E93EF3B5,65,ok,"Shout Original Laundry Stain Remover, 22 fl oz",0.1541,"22 fl oz $3.39 in-store (PDP unit line $0.15/fl oz); Shout Dye & Fragrance Free 22 fl oz same price; no Tandil store-brand stain remover carried"
2939C7DC24,68,ok,"Sweet Harvest Mandarin Oranges in Light Syrup, 15 oz",0.0993,"15 oz $1.49 in-store; Lunch Buddies 4 x 4 oz cups $2.19 = 0.1369/oz is dearer"
F178012094,72,missing,,,"No fresh cherries in the OLA 48 catalog on 2026-08-16 (searched cherries / sweet cherries / cherry; only Baker's Corner cherry pie filling 21 oz $2.89 and a lunchbox cherry pie). Seasonal item, out of season. In-store mode"
D9AE20B461,73,ok,"Friendly Farms Original Unsweetened Almondmilk, 64 fl oz",0.0358,"64 fl oz $2.29 in-store (PDP unit line $0.04/fl oz); all Friendly Farms 64 fl oz variants $2.29"
37C7EE81E1,75,ok,"Nectarines, 2 lb bag",1.745,"2 lb $3.49 in-store (PDP unit line $0.11/oz); JSON-LD size field wrongly says 1 lb, the PDP body and slug both say 2 lb"
6CF02A8969,76,ok,"Tuscan Garden Large Ripe Pitted Black Olives, 6 oz",0.265,"6 oz $1.59 in-store (PDP unit line $0.26/oz), flagged Price Drop Ends Soon; regular price $1.75 = 0.2917/oz"
1B4DB8A431,86,ok,"Watermelon, each (whole seedless)",4.65,"1 each $4.65 in-store"
CD84D60C6E,95,ok,"Season's Choice Steamable Frozen Mixed Vegetable, 12 oz",0.0817,"12 oz $0.98 in-store (PDP unit line $0.08/oz); California Medley 12 oz $1.15, Simply Nature Organic 10 oz $1.69"
