ticket,seq,verdict,found_product,found_price,note
B93CB13173,7,ok,"Pacific Cod Fillet Wild Caught (sustainably sourced), sold by lb",6.99,"soldBy=WEIGHT size 1 lb $6.99/lb; next best Kroger Wild Caught Pacific Cod Fillets Frozen 32 oz $15.99 promo = $8.00/lb"
15EFB5EF5C,32,ok,"Tampico Oregano Ground, 1 oz",1.69,"1 oz jar $1.69 = $1.69/oz; near-tie runner-up Kroger Oregano Leaves Shaker 1.94 oz $3.29 = $1.696/oz; Smart Way 0.63 oz $1.25 = $1.98/oz"
DCA476E0D0,45,ok,"Simple Truth Organic Sage (fresh herb clamshell), 0.5 oz",4.98,"0.5 oz $2.49 = $4.98/oz; only fresh sage carried at this store (all other sage results are dried rubbed/ground spice or non-food)"
6BDD32FA1A,54,ok,"Kroger Select Thin Cut Boneless Ribeye Beef Steak Family Pack",17.99,"soldBy=WEIGHT size 1 lb $17.99/lb; Kroger Select Boneless Ribeye $18.99/lb, Choice Boneless Family Pack $20.99/lb promo"
48FDA14605,64,ok,"Comforts Stage 2 Baby Food Puree Pouches Variety Pack, 12 ct / 4 oz",0.1873,"12 x 4 oz = 48 oz $8.99 = $0.1873/oz; single Comforts 4 oz pouch $0.90 = $0.225/oz"
67ADE8C845,79,ok,"Smart Way Cajun Seasoning, 3.88 oz",0.3222,"3.88 oz $1.25 = $0.322/oz; Louisiana Fish Fry Original Cajun 8 oz $2.99 = $0.374/oz; Tony Chachere's Creole 8 oz $3.59 = $0.449/oz"
D7CA3B4583,81,ok,"Kroger Frozen Fully Cooked Crispy Chicken Nuggets, 64 oz",0.1717,"64 oz $10.99 promo (regular $11.99) = $0.1717/oz; Kroger 29 oz $5.99 = $0.207/oz"
9C18B9389D,82,ok,"Kroger Canned Pear Slices in Extra Light Syrup, 15 oz",0.126,"15 oz $1.89 = $0.126/oz; Kroger 14.5 oz $1.89 = $0.130/oz; Del Monte 29 oz $4.29 = $0.148/oz"
0D3315AAB0,83,ok,"Suave Essentials Body Wash (Cocoa Butter & Shea / Ocean Breeze / Milk & Honey), 18 fl oz",0.1828,"18 fl oz $3.29 = $0.1828/fl oz; Kroger Sensitive Skin 33.8 fl oz $6.49 = $0.192/fl oz. Excluded Kroger Soapy Safari kids 3-in-1 shampoo+conditioner+body wash 22.5 fl oz $2.99 = $0.133/fl oz as a combo product, not plain body wash"
AFF15BDD96,85,ok,Fresh Jalapeno Peppers (bulk produce),1.99,"soldBy=WEIGHT size 1 lb $1.99/lb; all other jalapeno hits are pickled/canned or non-produce"
C1E857FDBE,98,ok,"Kroger Traditional Favorites Frozen Broccoli Cuts, 32 oz",0.0997,"32 oz $3.19 = $0.0997/oz; Kroger 12 oz $1.29 = $0.1075/oz; Birds Eye Florets 52 oz $8.49 = $0.163/oz"
