ticket,seq,verdict,found_product,found_price,note
96E97F53C7,3,ok,"Member's Mark Mandarin Oranges, 4 oz., 24 ct.",0.1196,"24 x 4 oz = 96 oz jarcup pack $11.48; site unit price $0.12/oz confirms 96 oz. No #10 can of mandarins stocked."
CA8949A94C,6,ok,"Mission 6"" Fajita Flour Tortillas, 40 ct.",0.123,"40 ct $4.92 = $0.123/ea (site $0.09/oz). Next cheapest flour: Mission Soft Flour Taco 40 ct $5.68 = $0.142/ea; La Banderita 9in 24 ct $4.18 = $0.174/ea; Mission 10in Burrito 40 ct $8.98 = $0.2245/ea"
2AC4B8BABB,10,ok,"Quaker Old Fashioned Oats, 160 oz.",0.04988,"160 oz canister $7.98; site $0.05/oz. Quaker Quick 1-Minute 160 oz same price."
D8A491772F,13,ok,"Bartlett Pears, 4 lbs.",1.6675,"4 lb bag $6.67; site $1.67/lb. Only fresh pear stocked."
925086D0A2,21,ok,"Chef-mate Country Sausage Gravy, 105 oz.",0.09124,"105 oz can $9.58; site $0.09/oz. Every other gravy at this club is a dry MIX (Pioneer, McCormick, Morrison's), not jarred/canned."
77A3443CE4,31,ok,"Member's Mark Spaghetti Pasta Pantry Pack, 1 lb., 6 pk.",0.05708,"6 lb (96 oz) $5.48; site $0.91/lb confirms 6 lb. Barilla Thin Spaghetti 6 lb $8.52 = $0.0888/oz"
A37CC65388,36,ok,"Summer Is Inside Organic Diced Peaches in Fruit Juice, 4 oz., 24 pk.",0.24625,"24 ct $5.91; site $0.25/ea. Odd price ending suggests a markdown. Next cheapest true fruit cup: Orchard Natural Cherry Mixed Fruit in Juice 4 oz 24 ct $9.98 = $0.4158/ea; Member's Mark Diced Peach Cups 4 oz 24 ct $10.98 = $0.4575/ea"
D227115320,38,ok,"StarKist Chunk Light Tuna in Water, 5 oz., 12 pk.",0.16633,"12 x 5 oz = 60 oz $9.98 (was $10.98); site $0.17/oz. Bulk 66.5 oz can $12.68 = $0.1907/oz is dearer."
77866C6D41,43,ok,"Member's Mark Buttermilk Pancake Mix, 10 lbs.",0.048375,"10 lb (160 oz) $7.74; site $0.05/oz. Bisquick 96 oz $5.78 = $0.0602/oz"
01AAD37B43,44,ok,"Grape Tomatoes, 2 lbs.",0.17719,"2 lb (32 oz) clamshell $5.67; site $2.83/lb. Flavor Bombs cherry 1.5 lb $6.97 = $0.29/oz"
13BF3CCAFE,46,ok,"Member's Mark Farm Raised Skinless and Boneless Tilapia Fillet Portions, Frozen, 3 lbs.",4.21333,"3 lb bag $12.64; site $4.21/lb. Fresh service-counter tilapia is $7.26/lb."
4DA0A1BFDB,47,ok,"Quaker Simply Granola, 34.5 oz., 2 pk.",0.14319,"2 x 34.5 oz = 69 oz $9.88; site $0.14/oz confirms 69 oz. Member's Mark Honey Almond Granola 32 oz $6.56 = $0.205/oz"
B24A63790D,52,ok,"Garden Salad, 2 lbs.",0.083125,"2 lb (32 oz) bag $2.66; site $1.33/lb"
09C2EDDED5,55,ok,"Welch's Concord Grape Jelly, 30 oz., 2 pk.",0.074667,"2 x 30 oz = 60 oz $4.48; site $0.07/oz confirms 60 oz. Smucker's Strawberry Jam pack $5.98 reads $0.09/oz = 64 oz total."
7EAF68A9B7,57,ok,"Purina Dog Chow Complete Beef Flavor Adult Dry Dog Food, 48 lbs.",0.557917,"48 lb bag $26.78; site $0.56/lb. Chicken flavor same price. Member's Mark Large Breed 44 lb $36.98 = $0.84/lb"
1FFBEA2E7F,62,ok,"Sara Lee Restaurant Style White Hot Dog Buns, 16 ct.",0.2425,"16 ct (24 oz) $3.88; site $0.16/oz. Member's Mark Cafe frozen case 96 ct $26.29 = $0.2739/ea; Lakeland 24 oz $3.98 has no stated count."
EE9708B681,63,ok,"La Costena Jalapeno Nacho Slices, 100 oz.",0.0677,"100 oz jar $6.77; site $0.07/oz. 64 oz jar $4.94 = $0.0772/oz"
4F6F9A8DD9,69,ok,"La Banderita Carb Counter 10"" Tortillas Family Pack, 10 ct.",0.598,"10 ct $5.98; site $0.60/ea. Only burrito-size (10 in) high-fiber/low-carb tortilla stocked. Ole Xtreme Wellness High Fiber is 8 in, 16 ct $7.78 = $0.486/ea (not burrito size); Mission Carb Balance here is 8 in only."
201356CE16,84,ok,"Kinder's Teriyaki Marinade Sauce, 27.5 oz.",0.17382,"27.5 oz bottle $4.78; site $0.17/oz. Only teriyaki sauce/marinade carried at this club. NOTE basis: Sam's labels the size 27.5 oz (weight), not fl oz."
C122A5876B,87,ok,"Nissin Top Ramen, Chicken, 24 pk.",0.290833,"24 pk $6.98; site $0.29/ea. Beef flavor same price. Cup Noodles 24 ct $8.98 = $0.374/ea"
653CE52AA6,91,ok,"Member's Mark Farm Raised Jumbo Raw EZ Peel Shrimp, Frozen, 21-30 ct. per pound, 3 lbs.",5.823333,"3 lb bag $17.47; site $5.82/lb. MM Large Raw 31-40 ct 3 lb $20.97 = $6.99/lb; MM Jumbo Raw 2 lb $16.97 = $8.48/lb"
FF5F1EA8E5,94,ok,"Ore-Ida Crispy Tater Tots, Frozen, 8 lbs.",0.0732,"8 lb (128 oz) bag $9.37; site $1.17/lb. Only tater tot SKU stocked."
1DC412578E,100,ok,"Nalley Original Chili with Beans, 15 oz., 12 pk.",0.098778,"12 x 15 oz = 180 oz $17.78; site $1.48/ea confirms 12 cans. Hormel Chili with Beans 6 pk $10.58 = $0.1176/oz; Wolf No Bean 106 oz $14.28 = $0.1347/oz. Excluded Chef-mate Hot Dog Chili Sauce 108 oz $9.98 (chili sauce, not chili)."
