ticket,seq,verdict,found_product,found_price,note
833EF9A3A4,1,ok,"Great Value Italian Style Meatballs, Family Size, 80 oz (Frozen)",0.234,"80 oz bag $18.72; PDP 23.4c/oz; next: GV Homestyle 48 oz $11.47 = 0.239"
AE1B50B20D,2,ok,"Fresh Basil, 1.5 oz Clamshell",2.42,"1.5 oz clamshell $3.63; PDP $2.42/oz; only other fresh is 0.5 oz $1.78 = 3.56. Dried/paste excluded"
57D02430AE,8,ok,"Fresh Whole Turnip Root 1 lb Bag, Fresh Produce",2.42,"1 lb bag $2.42; PDP 15.1c/oz = $2.42/lb; only fresh turnip root Walmart carries"
54AAA4EFB7,11,ok,"Mister Plumber 32oz Drain Opener",0.0428,"32 fl oz $1.37; PDP 4.3c/fl oz; seller Walmart.com IN_STOCK; next GV Drain Clog Remover 80 fl oz $5.77 = 0.072"
4CF9F07047,12,ok,"Great Value Ground Allspice, 2 oz",1.06,"2 oz jar $2.12; PDP $1.06/oz"
E91D210D87,17,ok,"Fresh Thyme, 0.5 oz Clamshell",3.56,"0.5 oz clamshell $1.78; PDP $3.56/oz; only fresh thyme stocked (rest are dried)"
CA70E06E57,22,ok,"Alberto VO5 Strawberries & Cream Nourishing Hair Conditioner, 16.9 fl oz",0.0746,"16.9 fl oz $1.26; PDP 7.5c/fl oz; size read off PDP (not in name); next Suave 0.086, Equate 28 fl oz $2.74 = 0.098"
4D21B3CE49,24,ok,"Equate Liquid Hand Soap, Clear, 50 fl oz",0.0594,"50 fl oz $2.97; PDP 5.9c/fl oz; seven Equate 50 oz variants all $2.97"
627ACFBC22,25,ok,"Great Value Glass Cleaner, 32 fl oz",0.0544,"32 fl oz $1.74; PDP 5.4c/fl oz; next GV refill 67.6 fl oz $4.47 = 0.066"
39727F77A3,29,ok,"Trappey's Red Devil Cayenne Pepper Hot Sauce, 32 fl oz",0.0806,"32 fl oz $2.58; PDP 8.1c/fl oz item 10309588; the 12 oz sibling is $1.58 = 0.132; GV Louisiana 12 fl oz $1.56 = 0.13"
7ECA2BB2D4,35,ok,"Imperial Dragon Coconut Milk, 13.5 fl oz",0.157,"13.5 fl oz can $2.12; PDP 15.7c/fl oz; cheaper only as bundles: Savia 2-pk 13.5 oz $3.96 = 0.147, GV 4-pk $9.28 = 0.172"
7D29CC2E83,39,ok,"27 Peaks Gourmet All Natural Coriander Powder, 16 oz Bottle",0.733,"16 oz $11.73; PDP 73.3c/oz; seller Walmart.com; shelf-size alt Great Value Organic Ground Coriander 1.5 oz $4.36 = 2.91"
86ACAC8BF5,40,ok,"Josephs Low Net Carb Flax Pita Bread, 1 Pack, 6 Count",0.545,"6 count 8 oz $3.27 = $0.545 each; next Joseph's White Greek Pocketless 4 ct $3.48 = 0.87 ea"
1ACD58DFCD,42,ok,"Pompeian Red Wine Vinegar - 16 fl oz",0.178,"16 fl oz $2.84; PDP 17.8c/fl oz; GV 12.7 fl oz $2.32 = 0.183; cheaper only as a 2-pk Star 25 fl oz $5.96 = 0.119"
