  1  1/3 Fat Cream Cheese | g
  6  1/3 Fat Cream Cheese | oz
  1  93/7 Ground Beef | g
 25  93/7 Ground Beef | lb
  2  93/7 Ground Turkey | g
 17  93/7 Ground Turkey | lb
  2  93/7 Ground Turkey | oz
  2  Achiote Paste | tbsp
 10  All-Purpose Flour | cup
  8  All-Purpose Flour | tbsp
  1  All-Purpose Flour | tsp
  3  Apple Cider Vinegar | cup
  1  Apple Cider Vinegar | tbsp
  1  Apple Cider Vinegar | tsp
  4  Bay Leaves | each
  1  BBQ Sauce | cup
  4  Beef Broth | cup
  1  Beef Broth | each
  1  Berbere Seasoning | tbsp
  1  Black Pepper | OTHER:pinch
  8  Black Pepper | OTHER:to taste
  2  Black Pepper | tbsp
 31  Black Pepper | tsp
  2  Boneless Skinless Chicken Breast | cup
  3  Boneless Skinless Chicken Breast | each
  1  Boneless Skinless Chicken Breast | g
  8  Boneless Skinless Chicken Breast | lb
  1  Boneless Skinless Chicken Thigh | g
 11  Boneless Skinless Chicken Thigh | lb
  2  Boneless Skinless Chicken Thigh | oz
  6  Bread Crumbs | cup
  2  Bread Crumbs | tbsp
  2  Broccoli Florets | each
  1  Brown Sugar | cup
  8  Brown Sugar | tbsp
  2  Brown Sugar | tsp
  1  Buffalo Wing Sauce | cup
  5  Butter | cup
  1  Butter | g
  1  Butter | lb
  1  Butter | oz
 21  Butter | tbsp
  3  Cajun Seasoning | tbsp
  1  Cajun Seasoning | tsp
  1  Carrots | cup
 10  Carrots | each
  1  Carrots | g
  1  Carrots | lb
  1  Carrots | oz
  7  Cayenne Pepper | tsp
  1  Celery | cup
  1  Celery | each
  7  Cheddar Cheese, Shredded | cup
  1  Cheddar Cheese, Shredded | oz
  2  Cheese Tortellini | oz
  4  Cherry Tomatoes | cup
  2  Cherry Tomatoes | each
  1  Cherry Tomatoes | g
 32  Chicken Broth | cup
  3  Chicken Broth | each
  1  Chicken Broth | floz
  1  Chicken Broth | OTHER:400ml
  1  Chicken Broth | oz
  5  Chicken Broth | tbsp
  1  Chicken Broth | tsp
  1  Chickpeas | oz
  3  Chili Crisp | tbsp
  2  Chili Powder | tbsp
  6  Chili Powder | tsp
  1  Chipotle in Adobo | each
  3  Coconut Milk | cup
  4  Coconut Milk | oz
  1  Corn Chips | oz
  1  Corn Muffin Mix | oz
  1  Cornstarch | cup
  1  Cornstarch | tbsp
  1  Cornstarch | tsp
  1  Crushed Tomatoes | cup
  3  Crushed Tomatoes | oz
  3  Cucumber | cup
  7  Cucumber | each
  1  Cucumber | OTHER:1/2
  1  Curry Powder | cup
  2  Curry Powder | tbsp
  3  Curry Powder | tsp
  2  Diced Green Chiles | oz
  1  Diced Tomatoes & Green Chilies | each
  1  Diced Tomatoes & Green Chilies | oz
  1  Diced Tomatoes | cup
  3  Diced Tomatoes | each
  2  Diced Tomatoes | g
  6  Diced Tomatoes | oz
  3  Dijon Mustard | tbsp
  3  Dijon Mustard | tsp
  1  Dill Pickles | cup
  4  Dried Basil | tsp
  1  Dried Dill | tsp
  2  Dried Oregano | tbsp
 13  Dried Oregano | tsp
  2  Dried Parsley | tbsp
  2  Dried Thyme | tbsp
  4  Dried Thyme | tsp
  1  Egg Noodles | lb
  4  Egg Noodles | oz
 20  Eggs | each
  1  Eggs | OTHER:3-4
  2  Eggs | OTHER:4-6
  1  Feta Cheese | cup
  1  Feta Cheese | g
  3  Feta Cheese | OTHER:to taste
  1  Feta Cheese | oz
  2  Fettuccine | oz
  1  Fish Sauce | cup
  8  Fish Sauce | tbsp
  2  Fish Sauce | tsp
  2  Five-Spice Powder | tsp
  5  Fresh Basil | cup
  1  Fresh Basil | each
  1  Fresh Basil | OTHER:to taste
  1  Fresh Basil | tbsp
  1  Fresh Cilantro | bunch
  8  Fresh Cilantro | cup
  1  Fresh Cilantro | OTHER:handful
  1  Fresh Cilantro | OTHER:to taste
  4  Fresh Cilantro | tbsp
  3  Fresh Cilantro | tsp
  1  Fresh Mint | cup
  1  Fresh Mint | OTHER:handful
  2  Fresh Mint | tbsp
  1  Fresh Mint | tsp
  3  Frozen Chopped Spinach | cup
  1  Frozen Chopped Spinach | each
  1  Frozen Chopped Spinach | g
  5  Frozen Green Peas | cup
  2  Frozen Green Peas | g
  1  Frozen Green Peas | lb
  1  Frozen Green Peas | oz
  1  Frozen Hash Browns | oz
  2  Garam Masala | each
  2  Garam Masala | tbsp
  3  Garam Masala | tsp
 41  Garlic | clove
  1  Garlic | cup
 15  Garlic | each
  1  Garlic | OTHER:2-3
  1  Garlic | OTHER:5-6
  9  Garlic | tbsp
  4  Garlic | tsp
  1  Garlic Powder | OTHER:seasonings
  1  Garlic Powder | tbsp
 22  Garlic Powder | tsp
  4  Ginger | each
  1  Ginger | g
  1  Ginger | OTHER:thumb-sized piece
  8  Ginger | tbsp
  2  Ginger | tsp
  2  Gochujang | cup
  1  Golden Raisins | cup
  6  Greek Yogurt | cup
  1  Greek Yogurt | OTHER:as desired
  2  Greek Yogurt | tbsp
  2  Green Bell Peppers | cup
  5  Green Bell Peppers | each
  2  Green Bell Peppers | OTHER:1/2
  2  Green Cabbage | cup
  1  Green Cabbage | g
  2  Green Onions | bunch
  1  Green Onions | cup
 12  Green Onions | each
  1  Green Onions | OTHER:to serve
  1  Green Onions | OTHER:to taste
  1  Green Onions | stalk
  1  Green Onions | tbsp
  1  Grits | cup
  1  Ground Allspice | tbsp
  2  Ground Allspice | tsp
  3  Ground Cinnamon | each
  6  Ground Cinnamon | tsp
  2  Ground Cloves | each
  2  Ground Cloves | tsp
  1  Ground Coriander | tbsp
  3  Ground Coriander | tsp
  3  Ground Cumin | tbsp
 11  Ground Cumin | tsp
  2  Ground Ginger | tsp
  1  Ground Nutmeg | tsp
  2  Ground Pork | g
  5  Ground Pork | lb
 10  Ground Turmeric | tsp
  1  Harissa Paste | cup
  8  Heavy Cream | cup
  1  Heavy Cream | floz
  1  Hickory Smoked Bacon | each
  2  Hickory Smoked Bacon | oz
  1  Hickory Smoked Bacon | tbsp
  1  Hoisin Sauce | cup
  3  Hoisin Sauce | tbsp
  1  Hoisin Sauce | tsp
  1  Honey | OTHER:to taste
  3  Honey | tbsp
  1  Honey | tsp
  1  Hot Italian Sausage | lb
  1  Hot Sauce | tbsp
  2  Hot Sauce | tsp
  1  Hummus | cup
  1  Hummus | OTHER:as desired
  5  Italian Seasoning | tbsp
  9  Italian Seasoning | tsp
 12  Jalapeno | each
  1  Jalapeno | OTHER:1-2
  2  Jalapeno | oz
  1  Jalapeno | tsp
  1  Japanese Curry Roux | each
  2  Ketchup | cup
  1  Ketchup | tbsp
  3  Kidney Beans | oz
  1  Lemon Juice | cup
  2  Lemon Juice | each
  1  Lemon Juice | OTHER:1/2
  2  Lemon Juice | OTHER:1/2 lemon
  5  Lemon Juice | tbsp
  2  Lemon Juice | tsp
  4  Lemongrass Paste | stalk
  1  Lemongrass Paste | tbsp
  1  Lemongrass Paste | tsp
  8  Light Sour Cream | cup
  1  Light Sour Cream | OTHER:for serving (optional)
  2  Lime Juice | cup
  5  Lime Juice | each
  1  Lime Juice | OTHER:1/2
  9  Lime Juice | tbsp
  3  Lo Mein Noodles | g
  6  Marinara Sauce | oz
  2  Mayonnaise | cup
  1  Mayonnaise | tbsp
  7  Mexican Cheese Blend | cup
  1  Mexican Cheese Blend | OTHER:to serve
  2  Mexican Cheese Blend | oz
  5  Milk | cup
  2  Milk | each
  2  Mirin | tbsp
  3  Olive Oil | cup
 29  Olive Oil | tbsp
  2  Olive Oil | tsp
  4  Olives | cup
  1  Olives | OTHER:to taste
  2  Olives | oz
  1  Onion Powder | tbsp
  9  Onion Powder | tsp
  1  Orange Juice | cup
  1  Orzo Pasta | oz
  6  Oyster Sauce | tbsp
  1  Paprika | cup
  1  Paprika | tbsp
  8  Paprika | tsp
  8  Parmesan Cheese | cup
  4  Parmesan Cheese | g
  1  Parmesan Cheese | OTHER:optional
  1  Parmesan Cheese | tbsp
  1  Pasta Shells | g
  1  Pasta Shells | lb
  2  Pasta Shells | oz
  1  Peanut Butter | tbsp
  2  Peanuts | cup
  2  Peanuts | tbsp
  1  Penne Pasta | lb
  1  Pineapple Chunks | cup
  1  Poblano Peppers | cup
  1  Pomegranate Molasses | cup
  1  Poppy Seeds | tbsp
  7  Pork Chops | each
  2  Pork Chops | lb
  1  Pork Chorizo | g
  1  Pork Chorizo | lb
  1  Pork Chorizo | oz
  1  Pork Loin | each
  3  Pork Loin | lb
  1  Pork Tenderloin | each
  2  Pork Tenderloin | lb
  2  Pork Tenderloin | oz
  5  Potato | each
  1  Potato | g
  1  Potato | lb
  3  Potato | OTHER:for serving
  1  Potato | oz
  3  Potato Gnocchi | lb
  1  Ranch Seasoning Mix | tbsp
  7  Red Bell Pepper | each
  1  Red Bell Pepper | g
  1  Red Bell Pepper | OTHER:1.5
  7  Red Bell Pepper | OTHER:1/2
  2  Red Curry Paste | tbsp
