"Slug","Item","Buy","Grams","Ratio","Verdict","Evidence"
"american-goulash-pasta","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"american-goulash-pasta","Carrots","1 lb","200","0.44","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"american-goulash-pasta","Olive Oil","1 tbsp","42","3.11","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"american-goulash-pasta","Salt","2 tsp","36","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"american-goulash-pasta","Sugar","1/4 tsp","3","2.86","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"american-goulash-pasta","Worcestershire Sauce","1 tbsp","45","2.65","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-burrito-bowls","Tomato Paste","1 tbsp (per 4 servings)","55","3.44","unverifiable","spec carries no source_url"
"beef-chili-mac","Olive Oil","2 tsp","27","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-enchilada-skillet-bowls","Garlic Powder","1/2 tsp","5","3.23","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-enchilada-skillet-bowls","Olive Oil","1 tbsp","45","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-picadillo-rice-bowls","Rice","1 lb","946","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"beef-ragu-pasta","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-ragu-pasta","Carrots","1 lb","200","0.44","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"beef-ragu-pasta","Salt","1/2 tsp","6","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-ragu-pasta","Sugar","1 tsp","9","2.14","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"beef-ragu-pasta","Vegetable Oil","1 tbsp","30","2.14","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"buffalo-turkey-potato-bowls","Black Pepper","1 tsp ground","8","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"buffalo-turkey-potato-bowls","Garlic Powder","1 Tbsp","32","3.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"cheeseburger-rice-bowls","Black Pepper","1/2 tsp","4","3.48","unverifiable","cited source https://www.budgetbytes.com/cheeseburger-rice/ returns HTTP 404"
"cheeseburger-rice-bowls","Olive Oil","1 Tbsp","45","3.33","unverifiable","cited source https://www.budgetbytes.com/cheeseburger-rice/ returns HTTP 404"
"cheeseburger-rice-bowls","Rice","1 lb","1000","2.2","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"cheeseburger-rice-bowls","Salt","1 tsp","18","3","unverifiable","cited source https://www.budgetbytes.com/cheeseburger-rice/ returns HTTP 404"
